project_id,project_description,beneficiary,total_amount,eu_cofinancing_amount,member_state_amount,paid_eu_funding,project_title,operational_program,fund_acronym,nuts3,lau2,start_date,management_authority,priority_label,source,beneficiary_url
1,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,INDUKTIO D.O.O.,186484.98,158512.23,27972.75,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
2,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,RTCZ D.O.O,181876.62,154595.13,27281.49,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,ZASAVSKA,HRASTNIK,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
3,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,TEB D.O.O,186484.98,158512.23,27972.75,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,SPODNJEPOSAVSKA,KRŠKO,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
4,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,JKP ŠALOVCI D.O.O.,101742.9,86481.46,15261.43,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,POMURSKA,ŠALOVCI,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
5,JAVNI RAZPIS ZA SOFINANCIRANJE STROŠKOV PROJEKTNIH INTERDISCIPLINARNIH SKUPIN (ŠT. I),BIA D.O.O.,36463.44,30993.92,5469.52,,LABORATORIJSKI INFORMACIJSKI SISTEMI - BIA LIMS,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2010,JAVNI RAZPIS,PODJETNIŠTVO,OU,
6,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,SENSUM D.O.O.,181876.62,154595.13,27281.49,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
7,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2009,SENSUM D.O.O.,155018.27,131765.53,23252.74,,PROGRAM DELA MLADEGA RAZISKOVALCA IZ GOSPODARSTVA - MR-09/93,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2009,JAVNI RAZPIS,PODJETNIŠTVO,OU,
8,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,RESISTEC UPR D.O.O. & CO.K.D.,144496.14,122821.72,21674.42,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,SPODNJEPOSAVSKA,KOSTANJEVICA NA KRKI,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
9,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,REKONSTRUKCIJA IZTOK CIGLARIČ S.P.,181876.62,154595.13,27281.49,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OBALNO-KRAŠKA,MARIBOR,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
10,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,EKO PRODUKT D.O.O,186484.98,158512.23,27972.75,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
11,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,IDS D.O.O.,181218.36,154035.61,27182.75,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
12,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,IDS D.O.O.,60826.32,51702.37,9123.95,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
13,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2010,COSYLAB D.D.,155299.88,132004.9,23294.98,,PROGRAM DELA MLADEGA RAZISKOVALCA IZ GOSPODARSTVA - MR-10,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2010,JAVNI RAZPIS,PODJETNIŠTVO,OU,
14,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,ŠTORE STEEL D.O.O.,106256.4,90317.94,15938.46,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,SAVINJSKA,ŠTORE,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
15,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,HIMIT D.O.O,186484.98,158512.23,27972.75,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,GORIŠKA,IDRIJA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
16,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,HIMIT D.O.O,181876.62,154595.13,27281.49,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,GORIŠKA,IDRIJA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
17,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,ACRONI D.O.O,185826.72,157952.71,27874.01,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,GORENJSKA,JESENICE,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
18,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,EUTRIP D.O.O.,67241.4,57155.19,10086.21,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,SAVINJSKA,CELJE,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
19,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,BOSIO D.O.O.,186484.98,158512.23,27972.75,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,SAVINJSKA,ŠTORE,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
20,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,ŠTAJERSKI INŽENIRING D.O.O.,186484.98,158512.23,27972.75,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,PODRAVSKA,HOČE-SLIVNICA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
21,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,PRIMORJE D.D.,62362.44,53008.07,9354.37,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,GORIŠKA,AJDOVŠČINA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
22,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,CINKARNA CELJE D.D.,186484.98,158512.23,27972.75,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,SAVINJSKA,CELJE,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
23,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,INKOS D.O.O.,78167.7,66442.54,11725.15,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,POMURSKA,MURSKA SOBOTA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
24,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,TERO D.O.O.,139217.16,118334.59,20882.57,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,KOROŠKA,SLOVENJ GRADEC,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
25,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2010,IOS D.O.O.,155299.88,132004.9,23294.98,,PROGRAM DELA MLADEGA RAZISKOVALCA IZ GOSPODARSTVA - MR-10,OP RČV,ESS,PODRAVSKA,MARIBOR,2010,JAVNI RAZPIS,PODJETNIŠTVO,OU,
26,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,ICP - TCP,186484.98,158512.23,27972.75,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
27,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,PLATON D.O.O.,144496.14,122821.72,21674.42,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,PODRAVSKA,RAČE - FRAM,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
28,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,ZRS BISTRA PTUJ,106863.3,90833.8,16029.49,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,PODRAVSKA,PTUJ,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
29,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,C3M D.O.O.,181876.62,154595.13,27281.49,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
30,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,VIRIS D.O.O.,181876.62,154595.13,27281.49,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
31,JAVNI RAZPIS ZA KREPITEV RAZVOJNIH ODDELKOV V PODJETJIH 2012,"NORMACOM PLUS, DRUGO PODJETNIŠKO IN POSLOVNO SVETOVANJE, D.O.O.",72930,61990.5,10939.5,,KROP 2012-84,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2012,JAVNI RAZPIS,PODJETNIŠTVO,OU,
32,JAVNI RAZPIS SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA,COSYLAB D.D.,55017.05,46764.49,8252.56,,SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA (ŠT. I),OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
33,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,INŠTITUT BION D.O.O.,106622.1,90628.79,15993.32,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
34,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,INŠTITUT BION D.O.O.,179901.84,152916.56,26985.28,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
35,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,ULTRA D.O.O.,185826.72,157952.71,27874.01,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,ZASAVSKA,ZAGORJE OB SAVI,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
36,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,ULTRA D.O.O.,185826.72,157952.71,27874.01,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,ZASAVSKA,ZAGORJE OB SAVI,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
37,JAVNI RAZPIS ZA SOFINANCIRANJE ZAPOSLITEV RAZISKOVALCEV OB PREHODU V PODJETJA (ŠT.II),IOS D.O.O.,59570,50634.5,8935.5,,VSPODBUJANJE PREHODA RAZISKOVALCEV IZ INSTITUCIJ ZNANJA V GOSPODARSTVO,OP RČV,ESS,PODRAVSKA,MARIBOR,2009,JAVNI RAZPIS,PODJETNIŠTVO,OU,
38,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,"DR. FERK & PARTNER, PODJETNIŠKO SVETOVANJE D.O.O.",78043.2,66336.72,11706.48,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,PODRAVSKA,MARIBOR,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
39,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,PRIMORJE D.D.,184510.2,156833.67,27676.53,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,GORIŠKA,AJDOVŠČINA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
40,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,RAZVOJNO TEHNOLOŠKI CENTER ZA VŽIGNE SISTEME IN ELEKTRONIKO D.O.O.,186484.98,158512.23,27972.75,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,GORIŠKA,TOLMIN,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
41,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,RAZVOJNO TEHNOLOŠKI CENTER ZA VŽIGNE SISTEME IN ELEKTRONIKO D.O.O.,186484.98,158512.23,27972.75,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,GORIŠKA,TOLMIN,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
42,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,AERO D.D.,186484.98,158512.23,27972.75,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,SAVINJSKA,CELJE,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
43,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OIKOS D.O.O.,186484.98,158512.23,27972.75,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OSREDNJESLOVENSKA,DOMŽALE,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
44,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,IFB D.O.O.,141179.49,120002.57,21176.92,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OSREDNJESLOVENSKA,GROSUPLJE,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
45,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,IEI D.O.O.,185168.46,157393.19,27775.27,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,PODRAVSKA,MARIBOR,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
46,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2010,SENSUM D.O.O.,155299.88,132004.9,23294.98,,PROGRAM DELA MLADEGA RAZISKOVALCA IZ GOSPODARSTVA - MR-10,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2010,JAVNI RAZPIS,PODJETNIŠTVO,OU,
47,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,DAX D.O.O.,186484.98,158512.23,27972.75,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,ZASAVSKA,TRBOVLJE,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
48,JAVNI RAZPIS ZA KREPITEV RAZVOJNIH ODDELKOV V PODJETJIH 2012,ELEKTROTEHNA MIKROPIS GROUP EMG PROIZVODNJA TRGOVINA IN SERVIS D.D.,303408.96,257897.62,45511.34,,KROP 2012-71,OP RČV,ESS,SAVINJSKA,ŽALEC,2012,JAVNI RAZPIS,PODJETNIŠTVO,OU,
49,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,CEPRIS D.O.O.,78043.2,66336.72,11706.48,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,PODRAVSKA,MARIBOR,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
50,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,E-NET-OKOLJE D.O.O.,144496.14,122821.72,21674.42,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
51,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,HIDRIA INŠTITUT KLIMA D.O.O.,181876.62,154595.13,27281.49,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,GORIŠKA,IDRIJA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
52,JAVNI RAZPIS ZA SOFINANCIRANJE ZAPOSLITEV RAZISKOVALCEV OB PREHODU V PODJETJA (ŠT.II),"KOLDING TRGOVSKO, STORITVENO IN PROIZVODNO PODJETJE D.O.O.",99913.91,84926.82,14987.09,,VSPODBUJANJE PREHODA RAZISKOVALCEV IZ INSTITUCIJ ZNANJA V GOSPODARSTVO,OP RČV,ESS,KOROŠKA,PREVALJE,2009,JAVNI RAZPIS,PODJETNIŠTVO,OU,
53,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,PINUS TKI D.D.,104303.1,88657.64,15645.47,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,PODRAVSKA,RAČE - FRAM,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
54,JAVNI RAZPIS ZA KREPITEV RAZVOJNIH ODDELKOV V PODJETJIH,ELEKTROTEHNA MIKROPIS GROUP EMG PROIZVODNJA TRGOVINA IN SERVIS D.D.,393116.45,334148.98,58967.47,,KROP - ELEKTROTEHNA MIKROPIS GROUP D.D. - 000497,OP RČV,ESS,GORENJSKA,KRANJ,2011,JAVNI RAZPIS,PODJETNIŠTVO,OU,
55,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2009,ELEA IC PROJEKTIRANJE IN SVETOVANJE D.O.O.,155018.27,131765.53,23252.74,,PROGRAM DELA MLADEGA RAZISKOVALCA IZ GOSPODARSTVA - MR-09/95,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2009,JAVNI RAZPIS,PODJETNIŠTVO,OU,
56,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,MONOLIT INFORMACIJSKI SISTEMI D.O.O.,127106.1,108040.18,19065.92,,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2007,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
57,JAVNI RAZPIS SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA,ACIES BIO D.O.O.,41506.8,35280.78,6226.02,3372.04,SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA (ŠT. I),OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
58,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2008,COSYLAB D.D.,154156.29,131032.85,23123.44,,MR-08/60,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
59,JAVNI RAZPIS SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA,"ZVEZDA, TEKSTILNA TOVARNA D.D.",52380.75,44523.64,7857.11,4236.67,SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA (ŠT. I),OP RČV,ESS,GORENJSKA,KRANJ,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
60,JAVNI RAZPIS SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA,"CBS INŠTITUT, D.O.O.",59930.21,50940.68,8989.53,,SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA (ŠT. I),OP RČV,ESS,JUGOVZHODNA SLOVENIJA,TREBNJE,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
61,JAVNI RAZPIS SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA,ETI ELEKTROELEMENT D.D.,57214.78,48632.56,8582.22,,SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA (ŠT. I),OP RČV,ESS,ZASAVSKA,ZAGORJE OB SAVI,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
62,JAVNI RAZPIS SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA,TEHNOCENTER UM D.O.O.,44316.75,37669.24,6647.51,1754.34,SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA (ŠT. I),OP RČV,ESS,PODRAVSKA,MARIBOR,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
63,JAVNI RAZPIS SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA,ULTRA D.O.O.,52168.9,44343.57,7825.34,,SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA (ŠT. I),OP RČV,ESS,ZASAVSKA,ZAGORJE OB SAVI,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
64,JAVNI RAZPIS SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA,PREDILNICA LITIJA D.O.O.,55534.08,47203.97,8330.11,,SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA (ŠT. I),OP RČV,ESS,OSREDNJESLOVENSKA,LITIJA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
65,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2009,COSYLAB D.D.,155018.27,131765.53,23252.74,,PROGRAM DELA MLADEGA RAZISKOVALCA IZ GOSPODARSTVA - MR-09/16,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2009,JAVNI RAZPIS,PODJETNIŠTVO,OU,
66,JAVNI RAZPIS SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA,TURBOINŠTITUT D.D.,51195.07,43515.81,7679.26,,SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA (ŠT. I),OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
67,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2009,IOS D.O.O.,155018.27,131765.53,23252.74,,PROGRAM DELA MLADEGA RAZISKOVALCA IZ GOSPODARSTVA - MR-09/51,OP RČV,ESS,PODRAVSKA,MARIBOR,2009,JAVNI RAZPIS,PODJETNIŠTVO,OU,
68,JAVNI RAZPIS SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA,JUB-H D.D.,50628.69,43034.39,7594.3,,SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA (ŠT. I),OP RČV,ESS,OSREDNJESLOVENSKA,DOL PRI LJUBLJANI,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
69,JAVNI RAZPIS SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA,AVL-AST D.O.O.,53157.68,45184.03,7973.65,,SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA (ŠT. I),OP RČV,ESS,PODRAVSKA,MARIBOR,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
70,JAVNI RAZPIS ZA KREPITEV RAZVOJNIH ODDELKOV V PODJETJIH 2012,SENSUM D.O.O.,245753.72,208890.66,36863.06,,KROP 2012-41,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2012,JAVNI RAZPIS,PODJETNIŠTVO,OU,
71,JAVNI RAZPIS SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA,BISOL D.O.O.,58509.36,49732.96,8776.4,,SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA (ŠT. I),OP RČV,ESS,SAVINJSKA,PREBOLD,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
72,JAVNI RAZPIS SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA,ISKRA ZAŠČITE D.O.O.,53416.44,45403.97,8012.47,,SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA (ŠT. I),OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
73,JAVNI RAZPIS SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA,KO-BIRO D.O.O.,50130.63,42611.04,7519.59,,SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA (ŠT. I),OP RČV,ESS,PODRAVSKA,MARIBOR,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
74,JAVNI RAZPIS SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA,TELETECH D.O.O.,52929,44989.65,7939.35,,SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA (ŠT. I),OP RČV,ESS,PODRAVSKA,MARIBOR,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
75,JAVNI RAZPIS SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA,ULTRA D.O.O.,56624.89,48131.16,8493.73,,SPODBUJANJE MOBILNOSTI VISOKOKVALIFICIRANEGA OSEBJA (ŠT. I),OP RČV,ESS,ZASAVSKA,ZAGORJE OB SAVI,2008,JAVNI RAZPIS,PODJETNIŠTVO,OU,
76,MLADI RAZISKOVALCI IZ GOSPODARSTVA – GENERACIJA 2009,COSYLAB D.D.,155018.27,131765.53,23252.74,,PROGRAM DELA MLADEGA RAZISKOVALCA IZ GOSPODARSTVA - MR-09/139,OP RČV,ESS,OSREDNJESLOVENSKA,LJUBLJANA,2009,JAVNI RAZPIS,PODJETNIŠTVO,OU,
