project_id,project_description,beneficiary,total_amount,eu_cofinancing_amount,member_state_amount,paid_eu_funding,project_title,operational_program,fund_acronym,nuts3,lau2,start_date,management_authority,priority_label,source,beneficiary_url
2413,JAVNI RAZPIS ZA SOFINANCIRANJE NOVE TEHNOLOŠKE OPREME V LETIH 2013 - 2014,"ISKRA - ORODJARSKO TEHNOLOŠKI CENTER, KRANJ, D.O.O.",196400,166940,29460,,INVESTICIJA V NAKUP TREH VISOKOTEHNOLOŠKIH STROJEV ZA PROIZVODNJO NOVIH ORODIJ Z VIŠJO DODANO VREDNOSTJO,OP RR,ESRR,GORENJSKA,KRANJ,2013,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2414,JAVNI RAZPIS RAZISKOVALNI VAVČER,ODELO SLOVENIJA D.O.O.,30462,25892.7,4569.3,,RAZVOJ VISOKOTLAČNE TEHNOLOGIJE BRIZGANJA TERMOPLASTOV,OP RR,ESRR,SAVINJSKA,PREBOLD,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2415,JAVNI RAZPIS RAZISKOVALNI VAVČER,OPTACORE D.O.O.,31500,26775,4725,,OPTIČNA VLAKNA DOPIRANA S FLUORESCENTNIMI NANODELCI,OP RR,ESRR,OSREDNJESLOVENSKA,LJUBLJANA,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2416,JAVNI RAZPIS RAZISKOVALNI VAVČER,OPTILAB D.O.O.,54470,46299.5,8170.5,,"RAZISKAVA O MOŽNOSTIH RAZVOJA, UPORABE IN APLIKACIJE RAČUNALNIŠKIH METOD WHOKNOWSWHO IN TELLMEMORE",OP RR,ESRR,GORIŠKA,AJDOVŠČINA,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2417,JAVNI RAZPIS RAZISKOVALNI VAVČER,"PARSEK, INFORMACIJSKE TEHNOLOGIJE, D.O.O.",63000,53550,9450,,RAZVOJ POSLOVNEGA MODELA ZA TELEMEDICINSKE REŠITVE,OP RR,ESRR,OSREDNJESLOVENSKA,LJUBLJANA,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2418,JAVNI RAZPIS RAZISKOVALNI VAVČER,"PIVOVARNA LAŠKO, D.D.",45000,38250,6750,,VPLIV ZAPOREDNE UPORABE KVASOVKE SPODNJEGA VRENJA NA NJENO FIZIOLOŠKO STANJE PRI PROIZVODNJI PIVA,OP RR,ESRR,SAVINJSKA,LAŠKO,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2419,JAVNI RAZPIS RAZISKOVALNI VAVČER,PLASTENKA D.O.O.,30000,25500,4500,,RAZISKAVA PODPORNEGA SISTEMA ZA POTREBE TRAJNOSTNEGA RAZVOJA PODJETJA IN ODGOVORNEGA »ZELENEGA TRŽENJA«,OP RR,ESRR,OSREDNJESLOVENSKA,DOMŽALE,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2420,JAVNI RAZPIS RAZISKOVALNI VAVČER,PLASTIKA SKAZA D.O.O.,81000,68850,12150,,RAZVOJ POSLOVNIH PROCESOV,OP RR,ESRR,SAVINJSKA,VELENJE,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2421,JAVNI RAZPIS RAZISKOVALNI VAVČER,PODKRIŽNIK D.O.O.,89600,76160,13440,,INDUSTRIJSKA RAZISKAVA ZA RAZVOJ MINI ZOBNIŠKEGA GONILA IZ POLIMERNIH MATERIALOV 2013-2014,OP RR,ESRR,SAVINJSKA,LJUBNO,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2422,JAVNI RAZPIS RAZISKOVALNI VAVČER,PREDILNICA LITIJA D.O.O.,86400,73440,12960,,ITALIJANSKI TEKSTILNI TRG - MARKETINŠKA RAZISKAVA,OP RR,ESRR,OSREDNJESLOVENSKA,LITIJA,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2423,JAVNI RAZPIS RAZISKOVALNI VAVČER,PROCON & BAU D.O.O.,30000,25500,4500,,RAZVOJ NOVIH IZBRANIH BLAGOVNIH ZNAMK,OP RR,ESRR,OSREDNJESLOVENSKA,LOG-DRAGOMER,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2424,JAVNI RAZPIS RAZISKOVALNI VAVČER,"PROIZVODNJA PEČI IN ŠTEDILNIKOV, UROŠ KOŽELJ S.P.",30000,25500,4500,,RAZVOJ MODELA PRENOVE POSLOVANJA IN IZBOLJŠANJA POSLOVNIH PROCESOV,OP RR,ESRR,OSREDNJESLOVENSKA,DOMŽALE,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2425,JAVNI RAZPIS RAZISKOVALNI VAVČER,RESULT D.O.O.,30000,25500,4500,,UPORABNIKU USMERJENO POSLOVNO OBVEŠČANJE,OP RR,ESRR,OSREDNJESLOVENSKA,LJUBLJANA,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2426,JAVNI RAZPIS RAZISKOVALNI VAVČER,REVITAL D.O.O.,45000,38250,6750,,MODULARNI SISTEM ZA GRADNJO E CENTROV,OP RR,ESRR,PODRAVSKA,KIDRIČEVO,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2427,JAVNI RAZPIS RAZISKOVALNI VAVČER,RLS MERILNA TEHNIKA D.O.O.,32000,27200,4800,,INTEGRACIJA VIROV IN SENZORJEV MAGNETNEGA POLJA V POLPREVODNIŠKEM VEZJU,OP RR,ESRR,OSREDNJESLOVENSKA,KOMENDA,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2428,JAVNI RAZPIS RAZISKOVALNI VAVČER,ROBOTINA D.O.O.,30000,25500,4500,,KRITIČNA ANALIZA IN OVREDNOTENJE METOD VEČKRITERIJSKE OPTIMIZACIJE IN STROJNEGA UČENJA ZA STORITVE INTELIGENTNEGA DOMA,OP RR,ESRR,OBALNO-KRAŠKA,HRPELJE-KOZINA,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2429,JAVNI RAZPIS ZA SOFINANCIRANJE NAKUPA NOVE TEHNOLOŠKE OPREME V LETU 2009-2011,SIBO G D.O.O.,194967.22,165722.14,29245.08,,2 STROJA ZA BRIZGANJE TERMOPLASTOV OZ. IZDELAVO  ZAG ZAPORK,OP RR,ESRR,GORENJSKA,ŠKOFJA LOKA,2009,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2430,JAVNI RAZPIS RAZISKOVALNI VAVČER,"RP DESIGN, PODJETJE ZA PROIZVODNJO, STORITVE IN TRGOVINO, D.O.O. MENGEŠ",30000,25500,4500,,RAZVOJ MODELA ZA IZBOLJŠANJE POGOJEV UČINKOVITE KOMUNIKACIJE V PODJETJU RP DESIGN,OP RR,ESRR,OSREDNJESLOVENSKA,MENGEŠ,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2431,"JAVNI RAZPIS ""NEPOSREDNE SPODBUDE ZA RAZISKOVLANO RAZVOJNE DEJAVNOSTI V PODJETJIH - PROJEKTI 2008""","LE-TEHNIKA, PODJETJE ZA PROIZVODNJO IN TRGOVINO Z ELEKTROTEHNIČNIMI IZDELKI, D.O.O.",194306.44,165160.47,29145.97,,INDUSTRIJSKE RAZISKAVE IN EKSPERIMENTALNI RAZVOJ MINIATURNIH STIRLINGOVIH KRIOGENSKIH HLADILNIKOV,OP RR,ESRR,GORENJSKA,KRANJ,2008,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
