country_code,code,sum
AT,AT,2235946786.00
BE,BE,1420957074.96
BG,BG,7720794885.00
CY,CY,841308858.00
CZ,CZ,0.00
DE,DE,25486721623.00
DK,DK,491970672.00
EE,EE,3572872136.00
EL,EL,25417059248.00
ES,ES,48149420639.00
FI,FI,2857841905.00
FR,FR,14448014740.00
HR,HR,815612179.00
HU,HU,36129063847.00
IE,IE,0.00
IT,IT,34786863579.68
LT,LT,6752062223.00
LU,LU,23622777.00
LV,LV,4493771267.00
MT,MT,833518548.00
NL,NL,1658276814.00
PL,PL,78209023220.84
PT,PT,0.00
RO,RO,22369824443.00
SE,SE,1135498906.00
SI,SI,4576126865.00
SK,SK,11213839418.00
UK,UK,9005373511.00
