country_code,code,sum
AT,AT111,2046953.00
AT,AT112,11956067.00
AT,AT113,10957177.00
AT,AT121,55001438.00
AT,AT122,103459730.00
AT,AT123,61353616.00
AT,AT124,61059426.00
AT,AT125,37281604.00
AT,AT126,54787623.00
AT,AT127,77106530.00
AT,AT130,410661093.00
AT,AT211,131591713.00
AT,AT212,27810666.00
AT,AT213,58589716.00
AT,AT221,169520319.00
AT,AT222,21080165.00
AT,AT223,49560092.00
AT,AT224,74613896.00
AT,AT225,61337508.00
AT,AT226,23941960.00
AT,AT311,66023794.00
AT,AT312,210196589.00
AT,AT313,26198468.00
AT,AT314,35101629.00
AT,AT315,36092083.00
AT,AT321,4507081.00
AT,AT322,23735384.00
AT,AT323,64796703.00
AT,AT331,4019567.00
AT,AT332,91229453.00
AT,AT333,32614872.00
AT,AT334,16447685.00
AT,AT335,28660097.00
AT,AT341,20925465.00
AT,AT342,71680624.00
BE,BE100,491962369.41
BE,BE211,51480307.88
BE,BE212,9470883.44
BE,BE213,13810861.69
BE,BE221,33632268.31
BE,BE222,13188104.43
BE,BE223,11413566.14
BE,BE231,7776966.42
BE,BE232,3588798.12
BE,BE233,2094520.66
BE,BE234,38680813.34
BE,BE235,2017208.66
BE,BE236,5965086.12
BE,BE241,23502683.75
BE,BE242,17916501.01
BE,BE251,12609578.64
BE,BE252,2060833.31
BE,BE253,4275907.83
BE,BE254,14308409.25
BE,BE255,5867519.68
BE,BE256,8934796.20
BE,BE257,3649518.61
BE,BE258,1968485.01
BE,BE310,38908570.26
BE,BE321,7975705.59
BE,BE322,101434323.47
BE,BE323,97019848.54
BE,BE324,12631419.39
BE,BE325,39276037.30
BE,BE326,19698998.57
BE,BE327,48261749.99
BE,BE331,9478774.03
BE,BE332,115254446.02
BE,BE334,5681785.77
BE,BE335,27073650.76
BE,BE336,5777339.53
BE,BE341,13783238.24
BE,BE342,3422524.04
BE,BE343,6112193.14
BE,BE344,17529091.94
BE,BE345,4035730.85
BE,BE351,15465860.75
BE,BE352,46095600.27
BE,BE353,5864198.59
BG,BG311,79642906.00
BG,BG312,119280552.00
BG,BG313,155625449.00
BG,BG314,197910315.00
BG,BG315,139689640.00
BG,BG321,225872943.00
BG,BG322,170141218.00
BG,BG323,186991800.00
BG,BG324,111859591.00
BG,BG325,94952202.00
BG,BG331,363272025.00
BG,BG332,133505331.00
BG,BG333,159197412.00
BG,BG334,91281774.00
BG,BG341,445263239.00
BG,BG342,223126835.00
BG,BG343,184902140.00
BG,BG344,443430348.00
BG,BG411,2080844174.00
BG,BG412,291689536.00
