location_bg,country,nuts1,nuts2,nuts3,lau1
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Ловеч",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Lovech Province,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Разград, Завет",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Razgrad Province,Zavet
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Благоевград, Сандански",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Blagoevgrad Province,Sandanski
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пловдив, Садово",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Plovdiv Province,Sadovo
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Костинброд",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Kostinbrod
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Антон",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Anton
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Видин, Димово",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vidin Province,Dimovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Видин, Макреш",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vidin Province,Makresh
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен",Bulgaria,Northern and Eastern Bulgaria,Northern Central,,
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пловдив, Раковски",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Plovdiv Province,Rakovski
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Русе, Сливо поле",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Rousse Province,Slivo pole
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Варна",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Varna Province,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Видин, Кула",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vidin Province,Kula
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Търговище",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Turgovishte Province,
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Костенец",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Kostenets
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пловдив, Сопот",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Plovdiv Province,Sopot
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Монтана, Вълчедръм",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Montana Province,Vulchedrum
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Стара Загора, Стара Загора",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Stara Zagora Province,Stara Zagora
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Ямбол, Болярово",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Yambol Province,Bolyarovo
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пловдив, Съединение",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Plovdiv Province,Saedinenie
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Мирково",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Mirkovo
