location_bg,country,nuts1,nuts2,nuts3,lau1
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Русе, Иваново",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Rousse Province,Ivanovo
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ",Bulgaria,South-Western and South-Central Bulgaria,,,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Видин",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vidin Province,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Шумен, Хитрино",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Shoumen Province,Hitrino
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Кюстендил, Сапарева баня",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Kyustendil Province,Sapareva banya
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Плевен, Белене",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Pleven Province,Belene
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пазарджик, Панагюрище",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Pazardjik Province,Panagyurishte
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Кюстендил",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Kyustendil Province,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Ямбол, Елхово",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Yambol Province,Elhovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Монтана",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Montana Province,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Шумен, Върбица",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Shoumen Province,Varbitsa
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Разград, Самуил",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Razgrad Province,Samuil
