nuts1_name,nuts1_code,nuts2_name,nuts2_code,nuts3_name,nuts3_code,lau1_name,lau1_code,lau2_name,lau2_code,population,territory,density
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Müllendorf,AT112_10308,1467,15.65,93.74
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Neufeld an der Leitha,AT112_10309,4037,4.66,865.73
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Oggau am Neusiedler See,AT112_10310,1815,62.21,29.18
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Oslip,AT112_10311,1291,21.8,59.21
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Purbach am Neusiedler See,AT112_10312,2642,55.18,47.88
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Sankt Margarethen im Burgenland,AT112_10313,2763,31.78,86.95
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Schützen am Gebirge,AT112_10314,1355,25.66,52.81
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Siegendorf,AT112_10315,2765,27.57,100.27
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Steinbrunn,AT112_10316,1829,18.72,97.71
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Trausdorf an der Wulka,AT112_10317,1837,19.05,96.44
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Wimpassing an der Leitha,AT112_10318,1438,10.52,136.69
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Wulkaprodersdorf,AT112_10319,1880,14.65,128.32
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Loretto,AT112_10320,7,2.84,2.46
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Stotzing,AT112_10321,860,15.94,53.96
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Zillingtal,AT112_10322,888,15.75,56.39
