beneficiary,beneficiary_address,project_title,project_description,total_amount,status,funding_agency
AHT - Aluhebetechnik GmbH,"2474 Gattendorf, Bahnstrasse 34",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Staplerkurs,345,A,Arbeitsmarktservice Burgenland
Akademie Neuer Innovativer Technologien - Fortbildungs GmbH,"7301 Deutschkreutz, Am Teich 11","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Diplomlehrgang - Train the Trainer,993.75,A,Wirtschaft Burgenland GmbH
AKAR Imam,"7350 Oberpullendorf, Hauptplatz 9","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Befähigungsprüfung Gastgewerbe - Modul 2 (mündlich),645,A,Wirtschaft Burgenland GmbH
Akyol KG,"7350 Oberpullendorf, Spitalstraße 2","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Vorbereitungskurs auf die Befähigungsprüfung Gastgewerbe - Modul 2,645,A,Wirtschaft Burgenland GmbH
Albin Friedrich KG,"7423 PINKAFELD, Marktplatz 5",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Überzeugend verkaufen,448,A,Arbeitsmarktservice Burgenland
Albin Friedrich KG.,"7423 Pinkafeld, Marktplatz 5","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Der Marketingplan für das kleine Budget,360,A,Wirtschaft Burgenland GmbH
ALC Advanced Laser Cutting & Schlosserei GmbH,"7531 Kemeten, Bundesstraße 20","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Mitarbeiterweiterbildung ""Persönlichkeitsmanagement, Mitarbeiterführung, Konfliktmanagement, Kommunikation""",4031.25,A,Wirtschaft Burgenland GmbH
ALL IN RED Thomas Angerer e.U.,"7361 Lutzmannsburg, Thermenplatz 7","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Ausbilder-Training,285,A,Wirtschaft Burgenland GmbH
ALL IN RED Thomas Angerer e.U.,"7361 Lutzmannsburg, Thermenplatz 7","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Ausbildertraining,877.5,A,Wirtschaft Burgenland GmbH
"ALONDO ""Bio.k."" Lebensmittelproduktions GmbH","7331 Weppersdorf, Industriegebiet","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Seminar ""Budgetierung und Planung""",487.5,A,Wirtschaft Burgenland GmbH
ALONDO Bio.K LebensmittelproduktionsGm bH.,"7331 Weppersdorf, Industriegebiet",Qualifizierungsförderung für Beschäftigte,"Qualifizierungsförderung für Beschäftigte: BMD Finanzbuchhaltung, Zahlungsverkehr u. Betriebswirtschaftl. Auswertungen",4658.49,A,Arbeitsmarktservice Burgenland
ALS-Haller GmbH & Co KG,"7423 GRAFENSCHACHEN, Gewerbepark 1",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Staplerkurs,823.17,A,Arbeitsmarktservice Burgenland
Altenburger Klaus Dr.,"7000 Eisenstadt, Dreifaltigkeitsstr. 18",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Ordinationshilfekurs,787.5,A,Arbeitsmarktservice Burgenland
Altenthaler Bau GmbH.,"7151 Wallern, Bergmanng. 10",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Weiterbildung für Berufskraftfaher,300,A,Arbeitsmarktservice Burgenland
Altmann Karl Ing.,"7082 Donnerskirchen, Hauptstraße 77 a","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Auto CAD II und Auto CAD LT - Aufbau,337.5,A,Wirtschaft Burgenland GmbH
Altmann Karl Ing.,"7082 Donnerskirchen, Hauptstraße 77 a","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",AUTOCAD - 3D,337.5,A,Wirtschaft Burgenland GmbH
Altmann Karl Ing.,"7082 Donnerskirchen, Hauptstraße 77 a","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",MS Excel Grundlagen,232.5,A,Wirtschaft Burgenland GmbH
Alu - Pfeiffer GmbH,"7411 Markt Allhau, Gewerbeweg 1","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",QV - WIG-Schweißen I; QV - MAG-Schweißen I; Elektroschweißen - Grundausbildung; Autogenschweißen - Grundausbildung; Vorbereitungskurs zum/zur Schweißwerkmeister/in - International Welding Specialist IWS-O; Lehrgang Schweißwerkmeister/in - International Welding Specialist (IWS),4044.75,A,Wirtschaft Burgenland GmbH
Alu - Pfeiffer GmbH,"7411 Markt Allhau, Gewerbeweg 1","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Schweißtechniker-Lehrgang - International Welding Technologist (IWT),630,A,Wirtschaft Burgenland GmbH
ALU PFEIFFER GesmbH.,"7411 Markt Allhau, Gewerbeweg 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: WIG-Schweißen I,623,A,Arbeitsmarktservice Burgenland
ALU PFEIFFER GesmbH.,"7411 Markt Allhau, Gewerbeweg 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: MAG Schweissen I,623,A,Arbeitsmarktservice Burgenland
ALU PFEIFFER GesmbH.,"7411 Markt Allhau, Gewerbeweg 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: IWS-0 Vorbereitungskurs,619.5,A,Arbeitsmarktservice Burgenland
ALU PFEIFFER GesmbH.,"7411 Markt Allhau, Gewerbeweg 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: IWS- Schweißwerkmeister Lehrgang,2576,A,Arbeitsmarktservice Burgenland
ALU PFEIFFER GesmbH.,"7411 Markt Allhau, Gewerbeweg 1",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Autocad Grundkurs,553,A,Arbeitsmarktservice Burgenland
ALU PFEIFFER GesmbH.,"7411 Markt Allhau, Gewerbeweg 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Schweißerausbildung,2280,A,Arbeitsmarktservice Burgenland
ALU PFEIFFER GesmbH.,"7411 Markt Allhau, Gewerbeweg 1",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Schweißerausbildung,320,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Statik für den Metallbau,600,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Zertifizierte Photovoltaik-Techniker bzw. Planer,1344,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: ERP-System Kurs auftragsbezogene Planung,2415,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: ERP-System Kurs Ressourcenplanung,2591.5,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: ERP-System Kurs Controlling,2967,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: ERP-System Kurs Materialwirtschaft,315,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: ERP-System Kurs Controlling,483,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: ERP-System Kurs Materialwirtschaft,3285,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Kurs Pulverbeschichtung,812,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: ERP-System Kurs Projektmanagement,255.5,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: ERP-System Kurs Projektmanagement,2044,A,Arbeitsmarktservice Burgenland
ALU SOMMER GmbH.,"7344 Stoob, Industriestraße 6",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Prozessmanagement,255.5,A,Arbeitsmarktservice Burgenland
