beneficiary,beneficiary_address,project_title,project_description,total_amount,status,funding_agency
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkräfteprogramm-Der/die professionelle DienstleisterIn mit ECO-C in Neusiedl,10782.79,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Gesunde Ernährung in Neusiedl,1464,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: PC-Grundkurs in Neusiedl,19113.53,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Deutsch für Saisonarbeitslose in Oberpullendorf,13782.75,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Industrieführerschein IWDL in Eisenstadt,4200.82,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Vorbereitungskurs für Pflegehelferinnenausbildung in Güssing,432.4,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Englisch für TechnikerInnen oder HAK/HTL-AbgängerInnen in Oberwart,9462.7,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modulare Aus- und Weiterbildung Schweißtechnik in Jennersdorf Fachkräfteprogramm,69363.94,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Jugendprogramm- EDV/Wirtschaft/Sprachen für Schulabg.in Oberwart,35632.19,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Jugendprogramm - Wirtschaftsausbildung in Güssing,37973.9,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: StaplerfahrerInnenkurs in Oberpullendorf,1393.5,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Pro FacharbeiterIn in Güssing,4766.53,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkräfteprogramm - Buchhaltung Intensivausbildung mit EDV in Eisenstadt,12562.84,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkräfteprogramm - Verkaufslerncenter in Güssing,27910.97,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FIT Verkaufslerncenter Elektronik in Güssing,19270.3,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: PC Grundkurs in Güssing,6945.12,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Englisch Konversation in Güssing,8317.87,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkräfteprogramm: Zurück in den Beruf Verkauf,16483.77,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Jugendprogramm - Sozialpädagogische AssistentIn in Oberwart,15359.5,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Business BIC in Oberwart,24039.66,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modulare Aus- und Weiterbildung Schweißtechnik,94742.44,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: PflegehelferInnenausbildung in Eisenstadt,78268.97,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modulares EDV Training in Neusiedl,61492.5,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkräfteprogramm FIA Versicherungskaufleute in Eisenstadt,55790,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: EDV-Bildungszentrum in Eisenstadt,30757.03,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Ausbildung zum/zur OsteuropaassistentIn in Oberwart,16282.98,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkräfteprogramm - HeimhelferInnenausbildung in Jennersdorf,7165.56,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,"Bildungsmaßnahme: Fachkräfteprogramm: Qualifizierung Spengler, Dachdecker und Zimmerer in Güssing",25630.8,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkräfteprogramm - Speditionslogistik-Aufschulung in Oberwart,16550.01,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FIA Gesunde Küche im Bezirk Oberwart,158766.64,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkräfteprogramm- Sekretariatsmanagement mit EDV und Englisch in Eisenstadt,29058.21,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Finanzplan in Güssing,7224.94,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkräfteprogramm - Buchhaltung mit SAP in Güssing,29772.41,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Bausteine zum Erfolg in Neusiedl,37106.88,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: LWST Consumer Electronics 2. Lehrjahr(Verlängerung),51945.62,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Überbetriebliche Lehrausbildung Landaschaftsgärtnerei mit Schwerpunkt Holz,122545.06,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Deutsch inkl. Bewerbungstraining mit Nachbetreuung in Eisenstadt,13734.89,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: 50+ Perspektiven für Ältere in Oberwart,27424.65,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,"Bildungsmaßnahme: LWST Gebäude- und Installationstechnik, Schwerpunkt Ökoenergie 2. Lehrjahr",108565.26,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: LWST Bau 2. Lehrjahr,155281.06,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modulare Aus- und Weiterbildung Schweißtechnik in Rudersdorf/Jennersdorf,123691.85,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Aufschulung für LKW-LenkerInnen in Neusiedl/See,2670.42,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Englisch in Neusiedl/See,15674.35,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Aufschulung für LKW-LenkerInnen in Oberpullendorf,1926.68,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FahrzeugkranführerInnenkurs in Oberpullendorf,1714.65,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: English-Basic in Oberwart,5154.2,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Lagerfachkraft in Oberwart,6917.91,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkräfteprogramm-FIA Kosmetik und Fußpflege in Güssing,53219.82,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modulares EDV-Training in Neusiedl/See,48837.82,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Überbetriebliche Lehrausbildung Prokuktionstechnik (ÜBA1) im Bezirk Oberwart,149672.93,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Überbetriebliche Lehrausbildung Garden and Flowers (ÜBA1),89167.58,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Überbetriebliche Lehrausbildung Beauty and Wellness (ÜBA1),113678.1,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Holzausbildungszentrum in Güssing,263076.93,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: EDV-Bildungszentrum in Oberwart,32290.39,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modulares Deutschlerncenter in Mattersburg,52391.11,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FIA GIT Sanitär und Klimatechnik plus Ökoenergietechnik in Großpetersdorf,277696.34,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: LWST Bau in Pinkafeld,150193.16,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,"Bildungsmaßnahme: LWST Gebäude- und Installationstechnik, Schwerpunkt Ökoenergie",130352.88,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkräfteprogramm - PflegehelferInnen-Ausbildung in Oberwart,40523.14,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modulares Qualifikations- und Bewerbungstraining in Jennersdorf,29629.48,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: EDV-Bildungszentrum in Mattersburg,42727.04,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Überbetr. Lehrausbildung § 30 ProduktionstechnikerIn 2. Lehrjahr,117670.8,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,"Bildungsmaßnahme: Start Living, Neustart durch Qualifizierung 45+ in Güssing (Verlängerung)",45726.69,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modulares Schweissen (Verlängerung) in Großpetersdorf,142730.34,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Praxisbüro für Mattersburg in Eisenstadt,57286.39,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Qualifizierung Sprachen + Strohhalmmodul - Aktives Quali-Training in Oberwart,63884.96,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Qualifizierung Verkauf + Nachbetreuung in Oberwart,25833.72,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Aufschulung für LKW-LenkerInnen in Oberwart,1935.08,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: EDV-Grundkurs in Oberwart,1500.6,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkräfteprogramm-Qualifizierte/r MitarbeiterIn Metall in Großpetersdorf,85405.77,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Deutsch für Saisonarbeitslose in Oberpullendorf,12040.48,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Call Center Agent in Oberwart,8929.32,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: StaplerfahrerInnenkurs inkl. Fahrpraxis und Outplacement in Neusiedl/See,8755.21,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: ECO-C European Communication Certificate in Neusiedl/See,16688.15,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modernes Officemanagement mit SAP und Englisch in Neusiedl/See,33297.84,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Lehrgang Einkaufs-AssistentIn in Oberwart,28550.04,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Sekretariatsmanagement mit EDV in Eisenstadt,25400.33,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: INNOVATION - English-Business in Oberwart,6800.92,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modernes Officemanagement in Mattersburg,11124.72,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Lagerlogistik intensiv inkl. Staplerschein und Staplerpraxis in Eisenstadt,17816.78,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Personalverrechnung mit SAP in Güssing,25625.39,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Frauen S(s)tärken in Neusiedl/See,9746.22,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FiT-Rampe Technik ist weiblich in Rudersdorf/Jennersdorf,59281.21,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Englisch für AnfängerInnen + ELL in Neusiedl/See,17654.84,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkurs Personalverrechnung in Eisenstadt,5021.19,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Sprachlabor Ungarisch in Oberpullendorf,3348.49,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkurs Personalverrechnung in Oberpullendorf,7607.3,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: ELL Englisch in Mattersburg,7630.68,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: INNOVATION - PC Grundkurs in Güssing,7615.67,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: INNOVATION - PC Grundkurs in Güssing,7679.66,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,"Bildungsmaßnahme: Gastronomie - Küche, Service und Englisch in Güssing",11075.23,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Buchhaltung mit SAP in Güssing,34490.22,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: RezeptionistIn mit Protel und Englisch in Güssing,11699.77,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: New Skills - English-Basic in Eisenstadt,9158.02,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Kaufmännische Übungsfirma in Oberwart,127829.58,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modulares Schweissen in Großpetersdorf,196284.97,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Holzausbildungszentrum in Güssing,304077.26,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: PflegehelferInnenausbildung in Jennersdorf,69287.93,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Innovation- Zurück in den Beruf Büro in Neusiedl/See,21340.65,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: CRM (Customer Relationship Management) in Neusiedl/See,16300.94,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Deutsch für Personen mit Sprachdefiziten in Güssing,18174.39,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FIT Rampe-Handwerklich-technische Vorqualifizierung für Frauen in Mattersburg,9897.54,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Bausteine für den erfolgreichen Wiedereinstieg in Neusiedl/See,2277.09,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Menschen schaffen Perspektiven+Qualifizierung Projektmanagement in Mattersburg,21595.49,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Ausbildung zum/zur ExportassistentIn in Oberwart,27781.26,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: BaggerfahrerInnenkurs in Güssing,9146.16,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Buchhaltung mit BMD in Oberwart,9548.95,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Finanzplan in Oberwart,5109.97,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Englisch Konversation in Güssing,7546.93,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Ausbild.zum/zur WebRedakeurIn bzw. MediengestalterIn inkl.Social Media in Oberw.,14826.48,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Servierkunde in Oberwart,9682.87,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkurs Personalverrechnung in Mattersburg,7384.46,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: EDV-Bildungszentrum in Mattersburg,39316.78,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Deutsch inkl. Bewerbungstraining in Oberpullendorf,5474.24,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: ECDL in Güssing,9282.82,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Personalverrechnung mit BMD in Oberwart,10907.05,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: New Skills - English-Business and Technical in Oberwart,10621.6,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: New Skills Handel-Einzelhandel-Basic in Eisenstadt,9657.37,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,"Bildungsmaßnahme: Qualifizierung Spengler-, Dachdecker- und ZimmererhelferIn in Güssing",29764.96,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: ECDL in Güssing,8505.07,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Personalverrechnung mit BMD in Güssing,7775.99,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Deutsch für AusländerInnen in Oberwart,9693.66,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Verkaufslerncenter in Güssing,36020.59,A,Arbeitsmarktservice Burgenland
