beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_country,result_region,result_county,result_city,result_postal_code,result_street,result_number,result_full_address,result_lat,result_long,geocoded,lau
stredna odborna skola policajneho zboru ,SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Pezinok,,902 01,Fajgalská cesta,2,"Fajgalská cesta 2, 902 01 Pezinok, Slovakia",48.2905721,17.2533812,True,508179
stredna odborna skola pre ziakov so sluchovym postihnutim,SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava II,,821 08,Koceľova,26,"Koceľova 953/26, 821 08 Ružinov, Slovakia",48.1535612,17.1322185,True,529320
stredna odborna skola sluzieb a lesnictva,SK,Slovakia,project,,,,,,,Slovakia,Banskobystrický kraj,Banská Štiavnica,,969 01,Kolpašská,1586/9,"Kolpašská 1586/9, 969 01 Banská Štiavnica, Slovakia",48.4486707,18.9161633,True,516643
stredna odborna skola strojnicka,SK,Slovakia,project,,,,,,,Slovakia,Žilinský kraj,Kysucké Nové Mesto,,024 01,Športová,,"Športová 1326, 024 01 Kysucké Nové Mesto, Slovakia",49.300949,18.774476,True,509256
stredna odborna skola technicka ,SK,Slovakia,project,,,,,,,Slovakia,Prešovský kraj,Prešov,,080 01,Volgogradská,1,"Volgogradská 4776/1, 080 01 Prešov, Slovakia",49.00323199999999,21.2201684,True,524140
stredna odborna skola v tisovci,SK,Slovakia,project,,,,,,,Slovakia,Banskobystrický kraj,Rimavská Sobota,,980 61,Jesenského,,"Jesenského 903, 980 61 Tisovec, Slovakia",48.679923,19.9402433,True,515680
stredna priemyselna skola,SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava IV,,841 02,Karola Adlera,5,"Karola Adlera 1935/5, 841 02 Dúbravka, Slovakia",48.19093489999999,17.0305384,True,529389
stredna priemyselna skola dopravna,SK,Slovakia,project,,,,,,,Slovakia,Banskobystrický kraj,Zvolen,,960 01,Sokolská,94,"Sokolská 911/94, 960 01 Zvolen, Slovakia",48.57757609999999,19.135146,True,518158
"stredna priemyselna skola elektrotechnicka, komens",SK,Slovakia,project,,,,,,,Slovakia,Košický kraj,Košice I,,040 01,Komenského,44,"Komenského 44, 040 01 Sever, Slovakia",48.7332908,21.247631,True,598151
stredna umelecka skola,SK,Slovakia,project,,,,,,,Slovakia,Žilinský kraj,Žilina,,010 01,Hálkova,22,"Hálkova 2968/22, 010 01 Žilina, Slovakia",49.2204462,18.7330926,True,517402
