"query_country_code","lau1_code","sum"
HU,HU101_3101,16301861568
PL,PL127_1142865,6930881750
IT,ITF33,4939115354
ES,ES300,3732735205
ES,ES618,3456614288
RO,RO321,3377226791
CZ,CZ0100,3079869671
ES,ES511,2825901045
DE,DE300_11000000,2757228830
ES,ES617,2743028223
IT,ITF47,2715462884
LT,LT00A_13,2594416165
PL,PL514_5020564,2546846060
ES,ES612,2129240202
BG,SOF46,2080844174
ES,ES523,2025945229
GR,EL651_4001,2024438218
PL,PL633_6224361,2021035421
ES,ES431,1949819067
IT,ITF35,1917736480
CZ,CZ0642,1905475665
ES,ES111,1890574881
IT,ITG12,1867828421
ES,ES614,1809599767
PL,PL113_1101661,1769019308
ES,ES114,1713757838
PL,PL213_2122161,1655758428
PT,PT170_1106,1598358166
ES,ES613,1580792221
GR,EL305_4905,1526914153
PL,PL415_4306264,1469676300
EE,EE001_37,1467024392
RO,RO122,1443091337
GR,EL631_3803,1378033849
IT,ITF45,1351044743
PL,PL325_3183516,1335254052
CZ,CZ0806,1334396757
ES,ES611,1313753612
ES,ES616,1305918913
GR,EL522_706,1301046361
IT,ITF61,1294412145
ES,ES120,1241845165
ES,ES432,1221439303
PT,PT11A_1317,1198718361
LV,LV006,1179523757
GR,EL543_1801,1178844776
IT,ITF46,1157661811
ES,ES521,1152350933
PL,PL314_3061163,1135757829
PT,PT11A_1312,1130140009
ES,ES620,1121835462
IT,ITF65,1116956518
RO,RO223,1111734154
ES,ES709,1104931923
HU,HU311_3501,1070935409
IT,ITF63,1070863492
IT,ITG17,1054982134
IT,ITF31,1044615563
PL,PL424_4326562,1029317233
HU,HU333_3606,998204894
HU,HU321_3903,997507523
DE,DED21_14612000,982858123
ES,ES705,976809170
PL,PL418_4306121,973506694
RO,RO113,955876017
RO,RO424,954899434
IT,ITI43,910877772
ES,ES615,907952685
HU,HU323_4506,892512161
IT,ITF34,892291155
RO,RO213,891335892
DE,DE212_9162000,881224121
PL,PL343_3203761,843193332
CZ,CZ0802,821018403
ES,ES425,807300922
LV,LV007,805862560
CZ,CZ0712,803814435
GR,EL613_2401,803608582
SK,SK031_79,802257121
IT,ITG13,797832703
GR,EL411_5301,797401818
LV,LV003,792394383
SI,SI021_24,764530604
CZ,CZ0323,754722243
RO,RO411,739689388
PL,PL217_2122416,738522505
HU,HU231_3207,733525175
PL,PL325_3183563,731001882
PL,PL229_2244766,723161479
IT,ITF32,700017496
DE,DED51_14713000,696309873
PL,PL331_3265261,695776975
LV,LV005,685133629
IT,ITF43,681025634
PL,PL613_6040663,669080291
ES,ES213,659691636
PL,PL214_2122006,656114803
DE,DEE03_15003000,654272730
CZ,CZ0317,644054333
RO,RO322,636031940
PT,PT16E_603,629777046
PL,PL613_6040661,626518694
PL,PL22A_2244869,614026981
CZ,CZ0311,606098788
PL,PL622_6285662,603277198
ES,ES422,602106750
ES,ES112,597942483
ES,ES243,596788099
ES,ES113,592036777
RO,RO316,590912875
CZ,CZ0513,589926845
RO,RO421,587200088
PL,PL314_3061109,582413930
PL,PL633_6224362,569965158
IT,ITF44,569790666
LT,LT002_19,568938629
GR,EL303_4501,563285204
LV,LV009,560740772
ES,ES418,556440828
RO,RO111,556152646
UK,UKI1106,547284879
IT,ITC11,543577503
PL,PL331_3265204,541272545
PT,PT300_3103,532493722
CZ,CZ020A,527741897
RO,RO125,527506563
EE,EE008_78,524251733
PL,PL116_1101814,522331712
ES,ES421,520344099
RO,RO423,519870212
DE,DEA11_5111000,505204863
GR,EL632_3701,504714094
CZ,CZ0532,492946317
BE,BE100,491962360
PL,PL315_3061214,490070720
RO,RO224,489883200
RO,RO311,486635244
CZ,CZ0724,485057735
RO,RO211,483599640
PL,PL229_2244778,480522862
IT,ITG27,477134896
GR,EL531_1402,476998122
UK,E08000026,473239706
IT,ITG14,471638061
PL,PL622_6285614,470248512
LV,LV008,470116166
RO,RO313,469715118
PT,PT112_303,467502965
RO,RO215,462927047
FR,FR940_97493,462844507
RO,RO415,457104811
RO,RO126,448713070
GR,EL513_103,445968201
ES,ES212,445307737
ES,ES522,444393188
CZ,CZ0201,442914579
HU,HU331_3304,442080485
IT,ITI14,441863171
UK,E06000052,441507124
RO,RO114,439103226
CZ,CZ0721,426384864
HU,HU221_3802,423701113
CZ,CZ0521,419947495
PL,PL621_6285461,419144912
EE,EE007_44,416677203
ES,ES532,415084286
ES,ES130,414946244
CZ,CZ0805,411239562
AT,AT130,410661093
MT,MT011,409036866
DE,DE803_13003000,408716154
DE,DED41_14511000,408643318
SK,SK041_49,408619512
ES,ES423,404161325
HU,HU211_3707,401230805
CZ,CZ0422,399818167
CZ,CZ0413,399099902
PL,PL228_2244513,397142038
RO,RO121,395397817
DE,DE501_4011000,393769978
GR,EL632_3704,389086056
PT,PT11A_1308,388007273
IT,ITG11,386170277
PL,PL228_2244562,384405034
IT,ITG19,384363120
ES,ES413,383457296
CZ,CZ0723,381297623
PT,PT16D_105,380403196
RO,RO214,376860463
PL,PL12A_1143032,373800237
ES,ES412,372385047
CY,CY000_1,371261128
ES,ES514,368996624
PL,PL224_2244664,368549013
PL,PL326_3183603,367280035
CZ,CZ0803,367108222
PL,PL431_4081361,365173448
RO,RO212,364136597
ES,ES415,361315277
PL,PL324_3183413,357305745
PL,PL225_2244461,355547867
PL,PL425_4326663,349622263
IT,ITF48,348966481
RO,RO216,348569984
PL,PL225_2244417,347874964
CZ,CZ0632,343148040
DE,DEG01_16051000,343026691
PT,PT119_308,340268808
CZ,CZ0715,339431633
CZ,CZ0644,338572630
PL,PL22B_2245001,337505922
GR,EL623_3501,337021802
IT,ITF51,336869758
CZ,CZ0534,336512981
HU,HU323_4508,336463954
ES,ES512,335533129
PL,PL518_5020423,334719621
SI,SI012_64,333901764
CZ,CZ0643,333882002
SK,SK022_20,332731567
PL,PL326_3183611,331648054
PT,PT16F_1009,330519815
CZ,CZ0804,326180968
PL,PL343_3203702,323772826
GR,EL611_2601,322607289
PL,PL128_1142763,321189371
SK,SK022_48,320510261
CZ,CZ0714,318838852
HU,HU232_4404,318728401
PL,PL129_1142934,316338966
CZ,CZ0427,316039162
ES,ES220,315612533
DE,DE712_6412000,314868367
GR,EL612_2201,313680965
CZ,CZ0204,313580905
RO,RO414,308737950
CZ,CZ0411,308411857
PT,PT119_312,308079516
IT,ITC4C,307770374
PL,PL621_6285415,306229866
RO,RO123,306190146
GR,EL522_709,305242140
BG,PDV22,304197164
PL,PL22B_2245075,303170332
FR,FR101_7599,301798829
FR,FR940_97498,301721750
IT,ITG15,300146561
CZ,CZ0412,299734415
IT,ITF62,299618941
LT,LT003_21,298335966
LT,LT002_52,297978933
CZ,CZ0634,297707377
GR,EL644_2701,297653881
RO,RO222,297469858
DE,DEG03_16053000,296346807
PT,PT187_705,296068977
ES,ES424,295735355
RO,RO226,295233285
PL,PL522_5163261,294738603
PL,PL518_5020420,294262875
HU,HU312_4001,294132262
IT,ITF64,292226321
SK,SK023_40,291687070
RO,RO422,291223714
RO,RO221,289245906
HU,HU322_4604,289154597
RO,RO225,287731165
PL,PL215_2122210,287356993
PL,PL129_1142912,285982166
CZ,CZ0722,284697500
CZ,CZ0209,284405733
PT,PT184_205,283827104
PL,PL423_4326414,282210470
RO,RO112,281068523
PL,PL114_1101508,280237170
PT,PT200_4203,280139841
HU,HU213_4908,279159317
IT,ITG18,278074763
UK,E08000012,277697898
SK,SK010_8,277549041
CZ,CZ0203,276643160
SK,SK031_12,275301160
DE,DED44_145230320,271438828
PL,PL121_1142502,271308282
GR,EL522_701,271003516
SK,SK041_47,270842867
HU,HU221_3805,269920894
GR,EL431_7101,269121072
CZ,CZ0202,267848706
PL,PL621_6285407,266794803
BG,VAR06,266137750
HU,HU212_4107,265439739
SK,SK010_6,263369904
GR,EL651_4101,263094200
PL,PL225_2244402,262556325
GR,EL421_6901,262044125
UK,UKN0100,261898331
HU,HU212_4102,260683355
RO,RO124,258994616
PL,PL432_4081409,255777857
PL,PL229_2244705,251972489
GR,EL611_2301,249489692
PT,PT11A_109,248444207
RO,RO413,248315091
SK,SK010_9,246808306
UK,E06000018,244538939
RO,RO312,243617572
IT,ITH55,243243924
RO,RO115,243164312
CZ,CZ0647,242346961
CZ,CZ0635,242014799
PT,PT11A_1306,241352390
RO,RO412,240707939
PL,PL521_5163107,239633692
HU,HU222_4808,239459918
PL,PL22B_2245065,238673873
UK,W06000011,238610061
PL,PL216_2122313,238062466
PL,PL331_3265210,235460212
PL,PL114_1101520,234744610
HU,HU332_3403,234569294
CZ,CZ0645,233437800
HU,HU332_3401,233072900
PL,PL615_6040807,231604721
SK,SK031_35,230495559
PL,PL129_1142917,228390670
BG,SZR31,227228909
ES,ES708,226696194
SK,SK042_24,226304071
IT,ITG25,224870590
GR,EL644_2706,224774539
SK,SK042_23,223192657
PT,PT111_1609,221828590
CZ,CZ0421,221581511
DE,DE600_2000000,221473301
PL,PL431_4081301,220600349
DE,DEE02_15002000,220414666
PL,PL621_6285404,219980079
SK,SK032_2,219889056
NL,NL310,219552484
NL,NL332,218627635
ES,ES513,216917128
PT,PT16G_1823,216876482
PT,PT200_4301,216018874
PL,PL116_1101817,215849084
CZ,CZ0533,215600059
PL,PL121_1142513,215564043
CY,CY000_5,215326361
PL,PL12A_1143021,214709535
RO,RO317,214098517
PL,PL623_6285505,212971867
DE,DE714_6414000,212101408
IT,ITC33,212040235
IT,ITI21,211824161
PL,PL121_1142562,211706681
PL,PL227_2244915,210605822
PL,PL432_4081462,210346933
AT,AT312,210196589
SK,SK021_70,209714365
PL,PL116_1101819,209472924
GR,EL511_301,209349457
NL,NL326,208634915
EE,EE004_67,208182418
PL,PL215_2122211,207958482
PL,PL325_3183515,207165928
GR,EL532_1601,207000662
CZ,CZ0525,206967729
CZ,CZ0207,205284716
PL,PL634_6224015,204809482
HU,HU233_4704,204311437
CZ,CZ0424,204247147
CZ,CZ0425,203724517
FI,FI1D3_122,203642648
UK,E08000025,203112030
UK,E08000019,202731680
FR,FR920_97299,202428461
PL,PL634_6224004,200047092
GR,EL611_2604,198836674
IT,ITH35,197934538
PL,PL517_5020321,196369828
GR,EL513_101,196360139
SK,SK022_69,196340399
SK,SK023_42,196245476
CZ,CZ0423,196238470
HU,HU322_4601,196114544
PL,PL517_5020308,196020478
DE,DE404_12054000,195271823
PL,PL414_4305803,195212630
CZ,CZ020B,194569625
LT,LT003_55,193736274
PT,PT11A_1318,193471659
CZ,CZ0631,193467228
CZ,CZ0523,192322703
DE,DEA2D_5334002,191835616
FR,FR623_3199,190153137
SK,SK031_32,190016079
PL,PL129_1142908,188261617
SI,SI011_36,187753744
SI,SI017_38,187409738
PL,PL522_5163209,187253128
FI,FI1B1_11,186878832
PT,PT112_302,186546998
SK,SK042_26,186099232
PT,PT170_1111,186048754
PT,PT16E_605,185512448
ES,ES414,185150028
PL,PL115_1101701,184771514
DE,DEA23_5315000,184615187
SK,SK032_13,184472494
FR,FR940_97497,184229587
ES,ES419,184176766
PL,PL214_2122009,183658157
PL,PL324_3183404,183461243
PL,PL634_6224005,183357652
ES,ES411,183266231
PL,PL214_2122019,183264727
PL,PL225_2244403,183091255
DE,DED43_145225109,182435668
CZ,CZ0208,182285370
HU,HU211_3702,181875046
GR,EL653_4403,181816543
FI,FI1D6_171,181711890
PL,PL345_3203963,181550493
PT,PT16J_503,181296361
ES,ES211,180831367
PL,PL114_1101506,180137482
PL,PL128_1142725,180122835
DE,DE804_13004000,179266649
HU,HU332_3407,178434440
PT,PT11A_1304,177966251
PL,PL217_2122463,177754429
DE,DEG02_16052000,176489426
CZ,CZ0327,175356746
PL,PL425_4326604,174946740
PL,PL311_3060901,174483807
RO,RO314,174132959
PL,PL12A_1143018,173915950
IT,ITG16,173913037
SK,SK022_50,173897393
CZ,CZ0206,173868211
PL,PL621_6285403,173612981
SI,SI022_18,173600493
PL,PL22C_2245177,173482227
PT,PT11D_1714,173394959
GR,EL612_2206,172909707
PT,PT11A_1314,172256829
HU,HU323_4510,171374329
GR,EL434_7401,171328267
DE,DE403_12053000,171229884
UK,E08000006,170981603
ES,ES416,170598543
FR,FR910_97193,169601547
CZ,CZ0326,169587871
AT,AT221,169520319
GR,EL541_1904,169505238
IT,ITF52,169493050
SK,SK010_7,168904394
FI,FI1D2_112,168312840
CZ,CZ0322,168293880
LT,LT006_29,167566710
PL,PL12A_1143006,167390781
PT,PT11A_1310,167182062
PL,PL326_3183618,167016565
SI,SI023_37,166934237
CZ,CZ0646,166859792
SK,SK021_16,166826526
SK,SK023_30,166801232
SI,SI012_42,166529158
PL,PL312_3061002,166322029
CZ,CZ0641,165832625
PL,PL121_1142519,165678962
CZ,CZ0531,164830107
RO,RO116,164743468
SK,SK032_77,164721161
CZ,CZ0713,164461250
PL,PL517_5020319,164308996
LT,LT00A_41,164100477
ES,ES230,164083343
PL,PL323_3183317,163982483
PL,PL518_5020413,163270039
HU,HU102_4307,163133958
PL,PL314_3061108,163071123
HU,HU331_3301,162878567
CZ,CZ0313,162108003
PL,PL216_2122312,162081490
PL,PL522_5163211,161768333
EE,EE006_59,161582616
MT,MT012,161183380
PL,PL129_1142914,160789848
PL,PL224_2244604,160707786
GR,EL645_3101,160345116
PL,PL416_4305707,159053508
PL,PL422_4326308,158969604
GR,EL525_1102,158556254
SI,SI022_53,157953032
CZ,CZ0314,156987643
PT,PT16F_1015,156925350
CZ,CZ0511,156456100
PT,PT16D_101,156002828
DE,DEF03_1003000,155849724
PT,PT16F_1010,155649693
GR,EL301_4611,154674601
PL,PL227_2244973,154343037
PT,PT185_1416,154279184
PL,PL331_3265207,154258622
PL,PL331_3265205,154180463
BG,SLV20,154148234
PT,PT11A_113,153859565
HU,HU312_4002,153338258
PL,PL12A_1143038,153159713
PL,PL22B_2245016,152468051
DE,DEG05_16055000,152239194
GR,EL525_1101,152151720
SK,SK010_5,151930253
PL,PL22C_2245108,151735378
PT,PT16D_110,151517485
GR,EL653_4304,151503056
DE,DEA13_5113000,151420576
DE,DE935_3355022,151328777
SK,SK023_22,151094334
SK,SK041_31,151066139
SE,SE331_24,150628652
PL,PL115_1101712,150482545
PL,PL615_6040864,150255663
PL,PL613_6040603,149992972
CZ,CZ0514,149703325
PT,PT11C_1309,149621747
PL,PL635_6224214,149607184
SK,SK041_4,149373700
PL,PL22B_2245068,149268461
DE,DE402_12052000,148879827
PL,PL518_5020414,148852793
HU,HU102_4314,148819931
HU,HU102_4304,148697856
PL,PL635_6224207,148607130
HU,HU332_3408,148151377
PL,PL422_4326361,148146796
GR,EL541_2103,147995000
PT,PT170_1115,147421030
PL,PL414_4305810,147382256
UK,W06000015,147199161
PL,PL332_3265301,146567915
SK,SK042_37,146524500
PL,PL116_1101803,146419146
SK,SK041_74,146322908
HU,HU323_4504,145531733
DE,DEA52_5913000,145228899
PL,PL215_2122262,144892068
PL,PL115_1101716,144761987
PL,PL117_1101902,144752302
CZ,CZ0205,144627653
PL,PL614_6040762,144551803
HU,HU331_3309,143545017
FR,FR301_5992,143466692
SK,SK042_27,143456647
FR,FR940_97492,142959153
PT,PT16J_907,142689324
PL,PL216_2122303,142638122
PL,PL416_4305717,142243431
PL,PL635_6224213,141965352
DE,DEF02_1002000,141948042
PL,PL217_2122402,141605805
SK,SK031_55,141082020
CZ,CZ0801,140535739
PL,PL422_4326315,140532439
ES,ES704,139919964
DE,DE929_3241001,139375773
HU,HU312_4004,138817989
SK,SK042_62,138578271
PL,PL631_6224112,138435844
PL,PL521_5163101,137898060
HU,HU221_3804,137430260
PL,PL323_3183307,137252210
GR,EL652_4202,137235951
PL,PL522_5163203,137137917
DE,DE932_3352011,136978001
PL,PL621_6285412,136699699
BG,RSE27,136693816
SK,SK021_15,136637892
UK,S30000008,136579579
PL,PL312_3061020,136528620
PL,PL634_6224011,136526581
PL,PL432_4081404,135623198
ES,ES241,135523973
PL,PL432_4081408,135469000
HU,HU223_5005,135258599
SK,SK042_68,134865175
SK,SK032_33,134466357
PT,PT181_1513,134413224
PL,PL216_2122318,134216102
IT,ITG26,133435674
PL,PL344_3203814,133349325
HU,HU321_3902,133346987
PT,PT200_4205,133325134
GR,EL533_1701,133250692
PL,PL425_4326606,132894516
PL,PL631_6224163,132568085
SK,SK041_21,132561963
GR,EL642_2901,132343263
HU,HU323_4505,132122464
PT,PT11C_1303,131791358
AT,AT211,131591713
IE,IE021_1,131366420
HU,HU102_4316,131018019
PL,PL613_6040615,130489926
