"query_country_code","nuts3_code","sum"
HU,HU101,16301861568
PL,PL127,6930881750
IT,ITF33,4939115354
PT,PT11A,4666019920
ES,ES300,3732735205
ES,ES618,3456614288
CZ,CZ080,3400479651
CZ,CZ064,3386407475
RO,RO321,3377226791
CZ,CZ010,3079869671
CZ,CZ020,3072935162
LT,LT00A,3028678554
ES,ES511,2825901045
DE,DE300,2757228830
ES,ES617,2743028223
IT,ITF47,2715462884
PL,PL633,2689859786
PT,PT170,2682900476
PL,PL514,2546846060
PL,PL325,2523465991
GR,EL651,2430510617
GR,EL522,2265502374
HU,HU323,2191713108
ES,ES612,2129240202
BG,BG411,2080844174
PL,PL314,2047327378
HU,HU311,2042349657
ES,ES523,2025945229
SK,SK031,1986076309
ES,ES431,1949819067
GR,EL305,1932753051
IT,ITF35,1917736480
FR,FR940,1903804922
ES,ES111,1890574881
PL,PL331,1877755895
IT,ITG12,1867828421
CZ,CZ031,1866660123
ES,ES614,1809599767
PL,PL113,1769019308
SK,SK041,1731480794
CZ,CZ071,1728663310
ES,ES114,1713757838
HU,HU321,1703011364
PL,PL622,1683928795
CZ,CZ042,1666033660
PL,PL213,1655758428
ES,ES613,1580792221
CZ,CZ072,1577437722
PL,PL613,1576081883
PL,PL621,1574135742
HU,HU333,1572334890
CZ,CZ032,1541206328
GR,EL631,1488209810
PL,PL415,1469676300
EE,EE001,1467024392
PL,PL229,1455656830
SK,SK022,1454299965
SK,SK042,1448489846
RO,RO122,1443091337
PT,PT16E,1400939026
SK,SK032,1396444497
PL,PL116,1365688248
PT,PT200,1361960989
GR,EL543,1356552903
IT,ITF45,1351044743
HU,HU102,1337779854
SK,SK010,1330784613
ES,ES611,1313753612
ES,ES616,1305918913
IT,ITF61,1294412145
PL,PL129,1286476416
HU,HU331,1270119890
PL,PL12A,1258810677
PL,PL326,1251224005
PL,PL214,1246729824
ES,ES120,1241845165
PL,PL343,1241222196
PT,PT16D,1238714619
PL,PL418,1238366902
PL,PL518,1236667425
ES,ES432,1221439303
CZ,CZ053,1209889464
CZ,CZ063,1186316845
PL,PL22B,1181086639
LV,LV006,1179523757
IT,ITF46,1157661811
ES,ES521,1152350933
PL,PL225,1149070411
ES,ES620,1121835462
IT,ITF65,1116956518
RO,RO223,1111734154
PL,PL217,1107843772
ES,ES709,1104931923
PL,PL121,1101815400
HU,HU231,1100874212
GR,EL611,1094925469
IT,ITF63,1070863492
HU,HU332,1069876563
LT,LT002,1067899752
PL,PL432,1065422048
IT,ITG17,1054982134
CZ,CZ052,1048778668
IT,ITF31,1044615563
PL,PL122,1031978476
PL,PL424,1029317233
SK,SK023,1024012608
CZ,CZ051,1020146985
CZ,CZ041,1007246174
GR,EL632,1002206318
HU,HU221,991545552
PL,PL522,987357917
PL,PL315,986483718
PL,PL228,984442057
DE,DED21,982858123
PL,PL22A,977281828
ES,ES705,976809170
RO,RO113,955876017
RO,RO424,954899434
PL,PL615,953583860
EE,EE008,943195179
PL,PL422,940947277
FR,FR301,938528645
SI,SI021,936484230
HU,HU211,930229494
PL,PL215,924407360
IT,ITI43,910877772
ES,ES615,907952685
GR,EL613,898833653
IT,ITF34,892291155
RO,RO213,891335892
PT,PT119,882450905
DE,DE212,881224121
PT,PT11C,869561801
PL,PL431,862529418
PT,PT112,853059145
SK,SK021,842250786
CY,CY000,841308858
PL,PL312,840367791
PT,PT16F,836258294
GR,EL411,828782143
PL,PL324,824294833
GR,EL531,818726252
HU,HU312,811272677
HU,HU322,810999809
ES,ES425,807300922
LV,LV007,805862560
PL,PL425,798163133
IT,ITG13,797832703
PL,PL128,797042780
LV,LV003,792394383
PT,PT300,785930336
PL,PL634,782818956
HU,HU232,780984268
MT,MT001,779579679
PT,PT184,767690338
PL,PL115,766794463
PL,PL416,765637743
PL,PL414,759850548
PL,PL216,757056512
HU,HU212,743388693
PL,PL635,742508933
RO,RO411,739689388
PL,PL114,736062876
FR,FR910,733601348
PL,PL517,732179980
SI,SI012,714002291
HU,HU213,707609020
GR,EL653,705155296
IT,ITF32,700017496
DE,DED51,696309873
PL,PL344,695174902
PL,PL332,694478992
PL,PL323,691265530
LT,LT003,689536325
GR,EL513,689216004
LV,LV005,685133629
PL,PL227,682399629
IT,ITF43,681025634
PL,PL224,680269480
PL,PL515,670571399
ES,ES213,659691636
PL,PL614,658546264
GR,EL303,655800715
PT,PT111,655348585
DE,DEE03,654272730
BG,BG421,651171956
PL,PL423,648542877
PL,PL417,647454949
RO,RO322,636031940
PL,PL631,633013377
UK,UKI11,619323820
PT,PT16I,615239551
GR,EL644,609655098
PT,PT187,609439467
GR,EL612,606351513
PL,PL345,605365822
ES,ES422,602106750
ES,ES112,597942483
ES,ES243,596788099
PT,PT11D,594347602
ES,ES113,592036777
PT,PT16J,591509316
RO,RO316,590912875
RO,RO421,587200088
PT,PT16G,580767027
IT,ITF44,569790666
PL,PL521,562355473
PL,PL623,561836674
PT,PT16B,561368971
LV,LV009,560740772
ES,ES418,556440828
RO,RO111,556152646
PL,PL22C,547576259
IT,ITC11,543577503
FR,FR920,540877160
SI,SI014,539598219
RO,RO125,527506563
LT,LT006,523547728
ES,ES421,520344099
SI,SI022,520079590
RO,RO423,519870212
GR,EL541,519218288
PL,PL117,510834339
PT,PT185,510361381
DE,DEA11,505204863
BE,BE100,491962360
RO,RO224,489883200
RO,RO311,486635244
GR,EL431,486303525
RO,RO211,483599640
HU,HU223,481355682
IT,ITG27,477134896
UK,UKK30,474451553
UK,UKG33,473239706
IT,ITG14,471638061
LV,LV008,470116166
RO,RO313,469715118
PT,PT150,463621882
RO,RO215,462927047
PL,PL311,462795032
RO,RO415,457104811
HU,HU222,454920697
PL,PL516,454257603
PL,PL411,450171478
HU,HU233,450099869
RO,RO126,448713070
ES,ES212,445307737
BG,BG341,445263239
FR,FR930,444991495
ES,ES522,444393188
BG,BG344,443430348
IT,ITI14,441863171
RO,RO114,439103226
GR,EL301,420584595
EE,EE007,416677203
ES,ES532,415084286
ES,ES130,414946244
EE,EE004,414492881
AT,AT130,410661093
DE,DE803,408716154
DE,DED41,408643318
ES,ES423,404161325
PT,PT181,397743418
SI,SI017,396670182
RO,RO121,395397817
DE,DED43,394724680
DE,DE501,393769978
FR,FR302,389577417
SI,SI011,388263697
IT,ITG11,386170277
IT,ITG19,384363120
DE,DED44,383705671
ES,ES413,383457296
PT,PT186,381953332
RO,RO214,376860463
HU,HU313,376736980
ES,ES412,372385047
ES,ES514,368996624
RO,RO212,364136597
BG,BG331,363272025
GR,EL421,361433557
ES,ES415,361315277
FI,FI1D6,353225360
FR,FR623,349258055
IT,ITF48,348966481
RO,RO216,348569984
FI,FI1D2,344455571
DE,DEG01,343026691
GR,EL623,339844376
IT,ITF51,336869758
ES,ES512,335533129
EE,EE006,331482481
FR,FR232,330766611
GR,EL525,329249711
UK,UKD31,323782375
FR,FR612,322892337
SI,SI023,317411055
ES,ES220,315612533
DE,DE712,314868367
RO,RO414,308737950
IT,ITC4C,307770374
FR,FR716,307019896
RO,RO123,306190146
GR,EL652,303641721
FR,FR511,302846809
FR,FR101,301798829
IT,ITG15,300146561
IT,ITF62,299618941
GR,EL511,298447646
RO,RO222,297469858
DE,DEG03,296346807
ES,ES424,295735355
RO,RO226,295233285
GR,EL527,292686522
IT,ITF64,292226321
BG,BG412,291689536
RO,RO422,291223714
RO,RO221,289245906
