Bénéficiaires,Portefeuilles,Projets,Date de la dernière décision du GW,Coût total décidées,Feder décidées,Part wallonne décidées,Autres décidées,Coût total payées,Feder payées,Part wallonne payées,Autres payées,Date de clôture
Bureau Economique de la Province de Namur,Sambreville - Pôle de développement de la Basse- Sambre,Aménagement de la voirie d'accès à la ZAE Sainte- Eugénie,03/12/2015,"344.951,59","137.980,64","172.475,79","34.495,16","296.000,00","118.399,99","148.000,01","29.600,00",28/12/2013
Commune de Ans,Ans en actions,RESTRUCTURATION DE LA RUE MONFORT (rue+parking),24/07/2008,"2.925.000,00","1.170.000,01","1.462.500,00","292.499,99","1.977.857,36","791.142,95","988.928,68","197.785,73",
IDELUX,"Amélioration de l'accessibilité de la ville de Vielsalm et du pôle d'activité économique ""bois"" luxembourgeois de Burtonville",équipement de zone d'activités économiques,08/10/2015,"1.895.885,00","758.354,00","947.942,50","189.588,50","1.445.874,99","578.349,99","722.937,50","144.587,50",
IDELUX,Développement d'un pôle spatial en synergie avec la station ESA de Redu,Parc d'activités,30/04/2015,"6.331.422,14","2.310.209,31","3.387.921,96","77.392,01","5.362.120,19","1.956.530,40","2.869.251,86","65.543,77",
IDELUX,Développement d'un pôle spatial en synergie avec la station ESA de Redu,Pose d'une connexion fibre optique,30/04/2015,"590.061,01","184.169,84","276.254,77","0,00","0,00","0,00","0,00","0,00",
IDELUX,Redéploiement et redynamisation économique du Centre-Ardenne,Raccordement ferré du PAE Ardenne logistics,24/11/2011,"6.220.167,62","2.488.067,04","3.110.083,82","622.016,76","5.860.328,71","2.344.131,48","2.930.164,36","586.032,87",
IDELUX,Renforcement du pôle de Marche-en-Famenne comme moteur du Nord de la province de Luxembourg,Mise en place d'un parc scientifique,23/04/2015,"2.647.355,24","1.038.504,51","1.344.084,48","213.672,29","2.253.830,11","884.132,48","1.144.288,46","181.910,25",
Port autonome de Namur,Sambreville - Pôle de développement de la Basse- Sambre,Equipement de la zone portuaire de Saint-Gobain - Accès et infrastructures économiques,03/12/2015,"627.822,07","249.697,39","374.546,09","0,00","27.346,57","10.876,27","16.314,42","0,00",
SPI,Centre du Design à Liège,Infrastructures,12/03/2015,"1.500.000,00","600.000,00","750.000,00","150.000,00","1.277.132,12","510.852,83","638.566,07","127.713,22",
SPI,Extension de la plate-forme multimodale de LIEGE LOGISTICS,Extension Plate-forme multimodale,24/07/2008,"3.600.000,00","1.371.168,00","1.868.901,98","187.850,02","3.091.201,72","1.177.376,91","1.604.764,73","161.300,64",
