Bénéficiaires,Date de la demande,Montant total des chèques technologiques,Feder décidées,Part wallonne décidées,Montants cofinancés décidées,Feder payées,Part wallonne payées,Montants cofinancés payées,Date de clôture,project
ADDITYS,20/02/2015,6500,1950,2925,4875,1950,2925,4875,27/07/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NANO4,23/02/2015,500,150,225,375,150,225,375,08/06/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PRODUCTION INDUSTRIELLE PHIL DESIGN STUDIO ,02/03/2015,500,150,225,375,150,225,375,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
METAL QUARTZ,03/03/2015,16000,4800,7200,12000,4800,7200,12000,27/07/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
VERSCHUERE TECHNOLOGY,02/04/2015,12000,3600,5400,9000,3600,5400,9000,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
HAULOGY.NET,26/03/2015,20000,6000,9000,15000,6000,9000,15000,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Etablissements POLLET,31/03/2015,20000,6000,9000,15000,6000,9000,15000,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
N.T.,03/04/2015,5500,1650,2475,4125,1650,2475,4125,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
I-MOVIX,07/04/2015,13000,3900,5850,9750,1800,2700,4500,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SERENITY,27/04/2015,15000,4500,6750,11250,4500,6750,11250,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
L'ARTISANE FOOD,07/04/2015,17000,5100,7650,12750,5100,7650,12750,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MEUNIER GROUP,09/04/2015,7500,2250,3375,5625,2250,3375,5625,08/06/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DEXSIL LABS,21/04/2015,1500,450,675,1125,450,675,1125,27/07/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
INTERSYSTO,15/04/2015,20000,6000,9000,15000,6000,9000,15000,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ATELIERS GRAUX,13/04/2015,5500,1650,2475,4125,1650,2475,4125,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GEOGRIND,08/05/2015,3000,900,1350,2250,900,1350,2250,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ADDITYS,28/04/2015,2000,600,900,1500,600,900,1500,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Les Produits Purs de Courcelles,12/05/2015,6000,1800,2700,4500,1800,2700,4500,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PUR VER,06/05/2015,4500,1350,2025,3375,1350,2025,3375,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Rubbergreen Industrie,21/05/2015,16500,4950,7425,12375,4950,7425,12375,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DECOCK YOUNGPLANTS,21/05/2015,20000,6000,9000,15000,1500,2250,3750,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Limited Edition,26/05/2015,15000,4500,6750,11250,4500,6750,11250,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MENUISERIE E.M.A.C.,26/05/2015,13500,4050,6075,10125,4050,6075,10125,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GREEN2CHEM CONSULTING,26/05/2015,7000,2100,3150,5250,2100,3150,5250,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SOPRISM,08/06/2015,20000,6000,9000,15000,6000,9000,15000,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SMARTWEAR,09/06/2015,18000,5400,8100,13500,5400,8100,13500,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
