Bénéficiaires,Date de la demande,Montant total des chèques technologiques,Feder décidées,Part wallonne décidées,Montants cofinancés décidées,Feder payées,Part wallonne payées,Montants cofinancés payées,Date de clôture,project
CILBiotech,22/12/2008,3000,900,1350,2250,900,1350,2250,21/04/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SA Bouchons Leclerq et Fils,19/12/2008,8500,2550,3825,6375,2550,3825,6375,1/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
FIB - SERVICES,22/12/2008,20000,6000,9000,15000,6000,9000,15000,30/07/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SA Selligent,04/02/2009,3000,900,1350,2250,900,1350,2250,2/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CILBiotech,09/02/2009,19500,5850,8775,14625,5850,8775,14625,18/08/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SA Bone Therapeutics,05/03/2009,4000,1200,1800,3000,1200,1800,3000,20/08/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
XYLOWATT,13/03/2009,1500,450,675,1125,450,675,1125,20/05/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SA Beads Belgium,15/04/2009,20000,6000,9000,15000,6000,9000,15000,07/04/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
it4ip,30/03/2009,1500,450,675,1125,450,675,1125,12/06/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MALEX,06/04/2009,16500,4950,7425,12375,4950,7425,12375,24/06/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
UNIFAST DAUDE,09/04/2009,1500,450,675,1125,450,675,1125,12/06/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
THERMIBEL,26/05/2009,2000,600,900,1500,600,900,1500,25/03/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Etablissements Jarilux,06/05/2009,1000,300,450,750,300,450,750,30/07/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
VITALTRONICS,22/04/2009,8500,2550,3825,6375,2550,3825,6375,18/01/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Humiva,08/05/2009,16500,4950,7425,12375,4950,7425,12375,14/12/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Scaldis Saint-Martin,06/05/2009,18000,5400,8100,13500,5400,8100,13500,14/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LEBAILLY,15/05/2009,2500,750,1125,1875,750,1125,1875,11/09/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NEOCERAM,27/05/2009,3000,900,1350,2250,900,1350,2250,26/10/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NEOCERAM,27/05/2009,5000,1500,2250,3750,1500,2250,3750,03/09/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MOSSELMAN,15/05/2009,5500,1650,2475,4125,1650,2475,4125,30/11/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
COVERFIL,28/05/2009,2000,600,900,1500,600,900,1500,30/10/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
XYLOWATT,29/05/2009,2500,750,1125,1875,750,1125,1875,30/07/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
VET,04/06/2009,4500,1350,2025,3375,1350,2025,3375,20/08/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LESSINES INDUSTRIES,04/06/2009,500,150,225,375,150,225,375,30/07/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Etablissements Jarilux,30/06/2009,1000,300,450,750,300,450,750,18/01/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ENGETIL,12/06/2009,18500,5550,8325,13875,5550,8325,13875,18/09/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Carrières de Silex du Versant de Maisières,01/07/2009,1000,300,450,750,300,450,750,30/10/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ACIC,22/06/2009,10000,3000,4500,7500,3000,4500,7500,11/09/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
VITALTRONICS,11/09/2009,4500,1350,2025,3375,1350,2025,3375,19/01/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
COMET TRAITEMENTS,21/08/2009,3500,1050,1575,2625,1050,1575,2625,9/10/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BIZZDEV,07/09/2009,13000,3900,5850,9750,3900,5850,9750,30/11/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
RECOVAL BELGIUM,10/07/2009,5500,1650,2475,4125,1650,2475,4125,03/05/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Caulier developpement s.a,10/07/2009,14000,4200,6300,10500,4200,6300,10500,26/03/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Etablissements Robert Stiernon,16/07/2009,1500,450,675,1125,450,675,1125,11/09/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PLASTISERVICE,16/07/2009,17000,5100,7650,12750,1650,2475,4125,22/12/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Sélecta,27/07/2009,1000,300,450,750,300,450,750,25/08/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LEBAILLY,22/09/2009,1500,450,675,1125,450,675,1125,22/02/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
it4ip,11/08/2009,2500,750,1125,1875,750,1125,1875,9/10/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SEDIS LOGISTICS,26/08/2009,9500,2850,4275,7125,2850,4275,7125,18/06/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
FIB - SERVICES,25/09/2009,14000,4200,6300,10500,4200,6300,10500,26/04/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ALTER ENERGY,24/09/2009,2000,600,900,1500,600,900,1500,14/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Ecolair SA,08/09/2009,10500,3150,4725,7875,3150,4725,7875,18/11/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ACIC,08/09/2009,10000,3000,4500,7500,3000,4500,7500,14/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PROPHAREX,18/09/2009,1000,300,450,750,300,450,750,30/11/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DEVAS,19/10/2009,1000,300,450,750,300,450,750,15/03/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LESSINES INDUSTRIES,2/10/2009,1000,300,450,750,300,450,750,14/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PACK - O - PLAST,21/10/2009,6000,1800,2700,4500,1800,2700,4500,07/09/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ETABLISSEMENTS ROBERT STIERNON,6/10/2009,1500,450,675,1125,450,675,1125,14/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CASTEL ENGINEERING,27/10/2009,2500,750,1125,1875,750,1125,1875,26/08/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DVL _ K,16/10/2009,1000,300,450,750,300,450,750,30/11/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Usines et Carrières Ernest Lebailly,8/10/2009,2500,750,1125,1875,750,1125,1875,30/11/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Carrières de Silex du Versant de Maisières,22/11/2009,1000,300,450,750,300,450,750,25/03/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MOSSELMAN,20/10/2009,3000,900,1350,2250,900,1350,2250,10/12/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
COVERFIL,28/10/2009,2000,600,900,1500,600,900,1500,04/04/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LE TISSAGE D'ARCADE,17/11/2009,7500,2250,3375,5625,2250,3375,5625,17/05/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ALKAR TECHNOLOGY,21/11/2009,2500,750,1125,1875,750,1125,1875,26/04/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BIZZDEV,18/11/2009,7000,2100,3150,5250,2100,3150,5250,21/06/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ACAPELA GROUP BABEL TECHNOLOGIES,16/11/2009,9000,2700,4050,6750,2700,4050,6750,01/07/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
EONIX,17/11/2009,1500,450,675,1125,450,675,1125,18/01/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Usines et Carrières Ernest Lebailly,2/12/2009,2500,750,1125,1875,750,1125,1875,23/02/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ETABLISSEMENTS ROBERT STIERNON ,29/11/2009,2000,600,900,1500,600,900,1500,18/01/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Usines et Carrières Ernest Lebailly,3/12/2009,2500,750,1125,1875,750,1125,1875,05/02/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
N.T.,25/11/2009,5000,1500,2250,3750,1500,2250,3750,25/03/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
