Bénéficiaires,Portefeuilles,Projets,Date de la dernière décision du GW,Coût total décidées,Feder décidées,Part wallonne décidées,Autres décidées,Coût total payées,Feder payées,Part wallonne payées,Autres payées,Date de clôture
C.W.P.F.I.V. asbl CEFOVERRE,CEFOVERRE EVOLUTIVE,1,26/03/2015,"554.298,56","166.289,57","388.008,99","0,00","352.826,76","105.848,03","246.978,73","0,00",
Chaque école sélectionnée dans le cadre de l'appel à projets annuel,Equipements pédagogiques de pointe de l'enseignement qualifiant - Convergence,Equipement de pointe de l'enseignement qualifiant,08/10/2015,"3.274.265,40","1.637.132,70","1.637.132,70","0,00","3.274.265,40","1.637.132,69","1.637.132,71","0,00",08/02/2012
Chaque école sélectionnée dans le cadre de l'appel à projets annuel,Equipements pédagogiques de pointe de l'enseignement qualifiant - Convergence,Equipements pédagogiques de l'enseignement qualifiant,08/10/2015,"7.549.665,20","3.774.832,60","3.774.832,60","0,00","6.968.536,85","3.484.268,41","3.484.268,44","0,00",
IFAPME - Institut de formation en alternance et des indépendants et des petites et moyennes entreprises,CdC Construform Hainaut,Volet 1 - Nouvelle antenne - MONS - IFAPME,15/07/2014,"5.467.017,00","1.640.105,10","3.826.911,90","0,00","4.099.040,33","1.229.712,10","2.869.328,23","0,00",
IFAPME - Institut de formation en alternance et des indépendants et des petites et moyennes entreprises,Design Innovation,Centre de compétence - Design Innovation,15/07/2014,"180.617,00","54.185,10","126.431,90","0,00","180.617,00","54.185,10","126.431,90","0,00",06/01/2014
Le FOREM,CdC Cepegra,CdC Cepegra,07/04/2011,"630.000,00","189.000,00","441.000,00","0,00","628.858,78","188.657,64","440.201,14","0,00",
Le FOREM,CdC Construform Hainaut,Volet 3 - Extension - Chatelineau - FOREM,15/07/2014,"1.065.550,67","319.665,20","745.885,47","0,00","1.005.366,58","301.609,96","703.756,62","0,00",
Le FOREM,CDC Environnement,CDC Environnement,26/03/2015,"232.460,00","69.738,00","162.722,00","0,00","162.144,31","48.643,29","113.501,02","0,00",
Le FOREM,CdC Logistique La Louvière,Antenne Logistique Hainaut Occidental,07/04/2011,"5.042.500,00","1.512.750,00","3.529.750,00","0,00","5.029.295,13","1.508.788,54","3.520.506,59","0,00",
Le FOREM,CdC Logistique La Louvière - Equipement AUTOTECH,Equipement AUTOTECH,07/04/2011,"475.000,00","237.500,00","237.500,00","0,00","474.781,62","237.390,79","237.390,83","0,00",
Le FOREM,CDC Pigments,CDC PIGMENTS,28/06/2012,"889.700,00","266.910,00","622.790,00","0,00","769.951,00","230.985,29","538.965,71","0,00",
Le FOREM,CdC Secteurs Verts,1,07/04/2011,"500.000,00","150.000,00","350.000,00","0,00","475.517,93","142.655,37","332.862,56","0,00",
Le FOREM,CdC Technofutur Industrie,CdC Technofutur Industrie - Campus technologique,15/07/2014,"8.951.643,62","4.475.821,81","4.475.821,81","0,00","7.177.585,70","3.588.792,84","3.588.792,86","0,00",
Le FOREM,Centre de Compétence Management et Commerce,Centre de Compétence Management et Commerce,15/07/2014,"2.117.258,98","1.058.629,49","1.058.629,49","0,00","1.989.608,74","994.804,36","994.804,38","0,00",
"Fédération Wallonie-Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - Convergence,CTA agro-alimentaire industr. et cuis de collect.,30/05/2008,"935.000,00","467.500,00","467.500,00","0,00","464.553,03","232.276,50","232.276,53","0,00",
"Fédération Wallonie-Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - Convergence,"CTA centre de valid. ""maintenancier en éq. énergét",30/05/2008,"870.000,00","435.000,00","435.000,00","0,00","870.000,00","434.999,98","435.000,02","0,00",04/02/2014
"Fédération Wallonie-Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - Convergence,"CTA en Bois ""Eco- construction""",30/05/2008,"840.000,00","420.000,00","420.000,00","0,00","723.146,11","361.573,05","361.573,06","0,00",
"Fédération Wallonie-Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - Convergence,CTA en Domotique et immotique,30/05/2008,"870.000,00","435.000,00","435.000,00","0,00","442.267,41","221.133,70","221.133,71","0,00",
"Fédération Wallonie-Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - Convergence,CTA en Mécanique appliquée,30/05/2008,"845.000,00","422.500,00","422.500,00","0,00","741.283,57","370.641,78","370.641,79","0,00",
"Fédération Wallonie-Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - Convergence,CTA en Mécanique des moteurs,30/05/2008,"840.000,00","420.000,00","420.000,00","0,00","839.935,99","419.967,99","419.968,00","0,00",10/12/2013
"Fédération Wallonie-Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - Convergence,CTA formation en charpente et ossature bois,30/05/2008,"799.800,00","399.900,00","399.900,00","0,00","717.487,77","358.743,88","358.743,89","0,00",
"Fédération Wallonie-Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - Convergence,CTA Nouv. techn. ecol des véhicules à 2 et 4 roues,30/05/2008,"840.000,00","420.000,00","420.000,00","0,00","836.409,59","418.204,78","418.204,81","0,00",
Technocité,It Convergence Academy FEDER,Technocité,28/06/2012,"298.500,00","89.550,00","208.950,00","0,00","232.150,10","69.645,03","162.505,07","0,00",
