Bénéficiaires,Portefeuilles,Projets,Date de la dernière décision du GW,Coût total décidées,Feder décidées,Part wallonne décidées,Autres décidées,Coût total payées,Feder payées,Part wallonne payées,Autres payées,Date de clôture
AZIMUT,EQUILIBRE / INCUBATEURS EN ECONOMIE SOCIALE / HT,Incubateur en Economie Sociale - Charleroi,28/03/2013,"2.328.713,00","931.485,22","1.164.356,47","232.871,31","2.185.645,98","874.258,39","1.092.823,00","218.564,59",
CCIH,SLC Ouest Hainaut - programme pluriannuel de stimulation économique,Savoir - ReHGIS,08/10/2015,"550.158,00","220.063,21","192.555,28","137.539,51","500.345,47","200.138,15","175.120,94","125.086,38",
CCIH,Structure Locale de Coordination (SLC) du Hainaut oriental,ReGhis (Relais hennuyer de gestion...),17/12/2015,"555.807,04","222.322,81","194.532,46","138.951,77","537.300,74","214.920,27","188.055,27","134.325,20",
CCIH,Structure Locale de Coordination (SLC) du Hainaut oriental,Coopération avec les régions bruxelloise/flamand,17/12/2015,"409.889,50","163.955,80","143.461,32","102.472,38","368.355,61","147.342,23","128.924,46","92.088,92",
CEEI HERACLES,Structure Locale de Coordination (SLC) du Hainaut oriental,Accompagnement des créateurs d'entreprises,17/12/2015,"3.444.675,29","1.186.621,73","1.779.932,62","0,00","3.414.795,06","1.176.328,60","1.764.492,91","0,00",30/09/2015
CEEI HERACLES,Structure Locale de Coordination (SLC) du Hainaut oriental,Renforcer les dimensions créativité et innovatio,17/12/2015,"1.148.857,95","459.543,18","516.986,08","172.328,69","1.145.157,53","458.063,00","515.320,90","171.773,63",30/09/2015
PROGRESS,EQUILIBRE / INCUBATEURS EN ECONOMIE SOCIALE / HT,Incubateur Economie Sociale - Ath - Tournai - Mouscron,28/03/2013,"101.774,12","33.512,18","40.088,95","10.179,32","101.774,12","33.511,24","40.089,44","10.177,41",24/12/2008
PROGRESS,EQUILIBRE / INCUBATEURS EN ECONOMIE SOCIALE / HT,Incubateur en Economie Sociale - Mons - Borinage - Centre,28/03/2013,"3.069.512,91","1.227.805,17","1.534.756,45","306.951,29","2.458.804,51","983.521,78","1.229.402,28","245.880,45",
HAINAUT DEVELOPPEMENT,Structure Locale de Coordination (SLC) du Hainaut oriental,Soutien aux PME/TPE dans leur accès aux marchés,08/10/2015,"264.474,00","105.789,60","92.565,90","66.118,50","255.576,36","102.230,52","89.451,75","63.894,09",
HAINAUT DEVELOPPEMENT,SLC Ouest Hainaut - programme pluriannuel de stimulation économique,Différencier - Marchés publics,17/12/2015,"155.921,31","62.368,52","62.368,53","31.184,26","145.762,08","58.304,82","58.304,85","29.152,41",
IDEA,SLC Ouest Hainaut - programme pluriannuel de stimulation économique,Savoir - Sensibilisation et info des PME,08/10/2015,"568.000,00","227.200,00","227.200,00","113.600,00","516.545,41","206.618,15","206.618,19","103.309,07",
IDEA,SLC Ouest Hainaut - programme pluriannuel de stimulation économique,Différencier - Accomp individualisé PME,08/10/2015,"1.505.800,00","602.320,00","527.030,00","376.450,00","1.425.600,93","570.240,35","498.960,33","356.400,25",
IDEA,SLC Ouest Hainaut - programme pluriannuel de stimulation économique,Développer - Actions pilotes TIC,08/10/2015,"341.500,00","136.600,00","128.062,50","76.837,50","324.255,57","129.702,22","121.595,85","72.957,50",
IDETA,SLC Ouest Hainaut - programme pluriannuel de stimulation économique,Savoir - Sensibilisation & info PME,08/10/2015,"726.286,65","290.514,66","254.200,32","181.571,67","713.135,13","285.254,05","249.597,30","178.283,78",
IDETA,SLC Ouest Hainaut - programme pluriannuel de stimulation économique,Différencier - Accomp Individualisé PME,08/10/2015,"952.143,76","380.857,51","333.250,30","238.035,95","910.418,44","364.167,36","318.646,46","227.604,62",
IDETA,SLC Ouest Hainaut - programme pluriannuel de stimulation économique,Développer - Actions Pilotes TIC,08/10/2015,"159.232,09","63.692,83","55.731,23","39.808,03","152.666,04","61.066,40","53.433,13","38.166,51",
IDETA,SLC Ouest Hainaut - programme pluriannuel de stimulation économique,Développer - Orientation strat. des PME,08/10/2015,"804.823,77","321.929,51","281.688,31","201.205,95","799.212,87","319.685,13","279.724,51","199.803,23",
IDETA,SLC Ouest Hainaut - programme pluriannuel de stimulation économique,Coordonner - Business Dynamics WFB,08/10/2015,"433.363,70","173.345,49","173.345,46","86.672,75","429.834,57","171.933,83","171.933,84","85.966,90",
IEG,SLC Ouest Hainaut - programme pluriannuel de stimulation économique,Savoir - Info & sensibilisation PME,08/10/2015,"666.900,00","266.760,00","233.415,00","166.725,00","661.785,18","264.714,05","231.624,83","165.446,30",
IEG,SLC Ouest Hainaut - programme pluriannuel de stimulation économique,Différencier - Accomp. individualisé PME,08/10/2015,"778.500,00","311.400,00","272.475,00","194.625,00","736.050,26","294.420,10","257.617,59","184.012,57",
IGRETEC,Structure Locale de Coordination (SLC) du Hainaut oriental,Constitution et animation de réseaux locaux,17/12/2015,"1.027.122,40","410.848,96","359.492,83","256.780,61","1.021.216,86","408.486,74","357.425,90","255.304,22",
IGRETEC,Structure Locale de Coordination (SLC) du Hainaut oriental,Stimulation du développement stratégique,17/12/2015,"639.608,70","255.843,48","223.863,03","159.902,19","637.549,64","255.019,83","223.142,39","159.387,42",
IGRETEC,Structure Locale de Coordination (SLC) du Hainaut oriental,Mise en oeuvre de programmes d'information,17/12/2015,"990.014,00","396.005,60","396.005,60","198.002,80","971.515,23","388.606,06","388.606,12","194.303,05",
IGRETEC,Structure Locale de Coordination (SLC) du Hainaut oriental,Sensibilisation aux TIC,17/12/2015,"3.299.840,34","1.202.065,83","1.602.654,29","200.444,48","3.299.082,11","1.201.789,63","1.602.286,04","200.398,41",
IGRETEC,Structure Locale de Coordination (SLC) du Hainaut oriental,Information et accompagnement des PME,17/12/2015,"3.037.163,60","1.214.865,44","1.063.007,26","759.290,90","3.017.433,25","1.206.973,28","1.056.101,64","754.358,33",
La Maison de l'Entreprise,SLC Ouest Hainaut - programme pluriannuel de stimulation économique,"Créer - Accomp porteurs, starters et TPE",08/10/2015,"4.790.600,00","1.916.240,00","2.395.300,00","479.060,00","4.677.071,07","1.870.828,41","2.338.535,56","467.707,10",
La Maison de l'Entreprise,SLC Ouest Hainaut - programme pluriannuel de stimulation économique,Différencier - Diff. entrepren. en amont,08/10/2015,"1.585.000,00","634.000,00","554.750,00","396.250,00","1.536.151,82","614.460,69","537.653,15","384.037,98",
La Maison de l'Entreprise,SLC Ouest Hainaut - programme pluriannuel de stimulation économique,Développer - Accomp. Business Angel,08/10/2015,"328.500,00","131.400,00","118.260,00","78.840,00","309.457,52","123.783,00","111.404,72","74.269,80",
La Maison de l'Entreprise,SLC Ouest Hainaut - programme pluriannuel de stimulation économique,Développer - Accomp. parten. interentr.,08/10/2015,"309.000,00","123.600,00","131.325,00","54.075,00","281.385,14","112.554,05","119.588,68","49.242,41",
UCM HAINAUT,Structure Locale de Coordination (SLC) du Hainaut oriental,Starter Intensive,08/10/2015,"521.646,77","208.658,71","182.576,36","130.411,70","487.190,12","194.876,02","170.516,55","121.797,55",
UCM HAINAUT,Structure Locale de Coordination (SLC) du Hainaut oriental,Transmission d'entreprises (SOWACCESS),08/10/2015,"655.702,27","262.280,92","295.066,00","98.355,35","638.043,79","255.217,51","287.119,72","95.706,56",
UCM HAINAUT,Structure Locale de Coordination (SLC) du Hainaut oriental,Com.TPE@PME,08/10/2015,"482.374,49","192.949,79","168.831,07","120.593,63","383.788,33","153.515,31","134.325,93","95.947,09",
UCM HAINAUT,SLC Ouest Hainaut - programme pluriannuel de stimulation économique,Créer - Starter Intensive,17/12/2015,"483.498,09","193.399,23","169.224,33","120.874,53","458.012,03","183.204,79","160.304,22","114.503,02",
