Bénéficiaires,Date de la demande,Montant total des chèques technologiques,Feder décidées,Part wallonne décidées,Montants cofinancés décidées,Feder payées,Part wallonne payées,Montants cofinancés payées,Date de clôture,project
STX-Med,22/09/2010,2000,600,900,1500,600,900,1500,18/01/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Metal Deploye Belge,27/09/2010,500,150,225,375,150,225,375,24/02/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ATELIERS HUBERT GERKEN,22/09/2010,500,150,225,375,150,225,375,23/05/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SPLICE CONSULT,12/10/2010,20000,6000,9000,15000,6000,9000,15000,27/01/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ZincOx Belgium,18/10/2010,20000,6000,9000,15000,6000,9000,15000,27/01/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CONCEPT ET FORME,8/12/2010,4500,1350,2025,3375,1350,2025,3375,24/02/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
COTE TERRASSE ET JARDIN,1/12/2010,5000,1500,2250,3750,1500,2250,3750,08/09/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
COTE TERRASSE ET JARDIN,19/10/2010,14500,4350,6525,10875,4350,6525,10875,08/09/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ATELIERS HUBERT GERKEN,13/10/2010,500,150,225,375,150,225,375,23/05/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PRECICAL,23/11/2010,5000,1500,2250,3750,1500,2250,3750,09/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PROSPECTIVE DESIGN,1/12/2010,1500,450,675,1125,450,675,1125,19/09/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
COSMIK,18/10/2010,3000,900,1350,2250,900,1350,2250,19/09/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ACTINA,28/10/2010,1000,300,450,750,300,450,750,21/04/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CARDIATIS,17/11/2010,9000,2700,4050,6750,2700,4050,6750,22/12/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
STABILAME,23/11/2010,14000,4200,6300,10500,4200,6300,10500,18/04/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LANGE CHRISTIAN,4/11/2010,1500,450,675,1125,450,675,1125,16/05/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MATRIO - GROUP,22/11/2010,1500,450,675,1125,450,675,1125,23/12/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GREEN PROPULSION,25/11/2010,2500,750,1125,1875,750,1125,1875,01/03/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MX DESIGN,26/01/2011,2000,600,900,1500,600,900,1500,24/02/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
IWAN SIMONIS,29/11/2010,1500,450,675,1125,450,675,1125,25/05/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PIXANIMA,5/11/2010,1000,300,450,750,300,450,750,10/12/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MATRIO - GROUP,22/11/2010,3500,1050,1575,2625,1050,1575,2625,16/03/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
O.COM,10/11/2010,12500,3750,5625,9375,2850,4275,7125,3/11/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BEAL INTERNATIONAL,10/11/2010,13500,4050,6075,10125,4050,6075,10125,23/08/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
WATERPRO,12/01/2011,4500,1350,2025,3375,1350,2025,3375,23/08/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
AQUATIC SCIENCE,26/11/2010,1500,450,675,1125,450,675,1125,10/02/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ACTINA,16/11/2010,12000,3600,5400,9000,3150,4725,7875,05/02/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
QUALIFORME,1/12/2010,1000,300,450,750,300,450,750,03/03/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ACTINA,29/11/2010,1000,300,450,750,300,450,750,24/02/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
TARADON LABORATORY,30/12/2010,5500,1650,2475,4125,1650,2475,4125,08/07/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MG CONSULTANTS,14/12/2010,1000,300,450,750,300,450,750,21/06/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
REALCO,6/12/2010,5000,1500,2250,3750,750,1125,1875,23/12/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SYSPEO International,3/12/2010,18500,5550,8325,13875,5550,8325,13875,11/10/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
FIB BELGIUM SA,3/12/2010,5000,1500,2250,3750,1500,2250,3750,23/05/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
KOPO,15/12/2010,3000,900,1350,2250,900,1350,2250,21/04/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PALANTE PARTNERSHIP,8/12/2010,7500,2250,3375,5625,2250,3375,5625,08/07/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LASERSPEC,8/12/2010,20000,6000,9000,15000,6000,9000,15000,02/09/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Mill Valley SPRL,9/12/2010,20000,6000,9000,15000,3300,4950,8250,23/12/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GROUP TECHNOCHIM EUROPE,9/12/2010,15000,4500,6750,11250,4500,6750,11250,27/06/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
THE GREAT CIRCLE,10/12/2010,20000,6000,9000,15000,6000,9000,15000,21/06/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Bizliner,10/12/2010,20000,6000,9000,15000,600,900,1500,23/12/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PROMETHERA BIOSCIENCES,15/12/2010,20000,6000,9000,15000,6000,9000,15000,12/10/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Mahusaca,14/12/2010,20000,6000,9000,15000,6000,9000,15000,22/12/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BIOAWARE,14/12/2010,20000,6000,9000,15000,6000,9000,15000,30/12/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MESSIO,14/12/2010,20000,6000,9000,15000,6000,9000,15000,19/09/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
TRADECOWALL,22/12/2010,1000,300,450,750,300,450,750,27/01/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
FIB BELGIUM SA,16/12/2010,8000,2400,3600,6000,2400,3600,6000,16/07/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SYNACO,24/12/2010,5000,1500,2250,3750,1500,2250,3750,21/04/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
RESPECT-IT,16/12/2010,8000,2400,3600,6000,2400,3600,6000,04/02/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CONCEPT ET FORME,17/12/2010,6000,1800,2700,4500,1800,2700,4500,05/02/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MENUISERIE RICHE,17/12/2010,20000,6000,9000,15000,6000,9000,15000,8/12/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
KX CONCEPT,3/10/2011,500,150,225,375,150,225,375,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BRITTE-MUSTAD,17/12/2010,9000,2700,4050,6750,2700,4050,6750,24/04/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CISSOID,17/12/2010,20000,6000,9000,15000,6000,9000,15000,21/04/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
UN PAS PLUS LOIN,21/12/2010,19500,5850,8775,14625,5850,8775,14625,18/12/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Etablissements Hublet,20/12/2010,5500,1650,2475,4125,1650,2475,4125,26/08/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PSYCHOMED.COM,21/12/2010,4000,1200,1800,3000,1200,1800,3000,15/03/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PAUMELLES LIEGEOISES,30/12/2010,8000,2400,3600,6000,2400,3600,6000,23/08/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
TERRACO GROUP,20/12/2010,17500,5250,7875,13125,1650,2475,4125,23/12/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Société civile d'architectes helium3 SCRL,26/01/2011,2500,750,1125,1875,750,1125,1875,09/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CREACTION,21/12/2010,2000,600,900,1500,600,900,1500,19/09/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MAISON VENDÔME,22/12/2010,10000,3000,4500,7500,3000,4500,7500,26/08/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Cardio3 Biosciences,21/12/2010,7500,2250,3375,5625,2250,3375,5625,18/01/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NANOCYL,21/12/2010,20000,6000,9000,15000,6000,9000,15000,23/08/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
D-LINEO,23/12/2010,15000,4500,6750,11250,1200,1800,3000,12/10/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SOCIETE BELGE DE MATERIAUX COMPOSITES ,30/12/2010,1000,300,450,750,300,450,750,11/10/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CARDIATIS,30/12/2010,11000,3300,4950,8250,3300,4950,8250,30/08/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Chassis Norma,31/01/2011,7000,2100,3150,5250,2100,3150,5250,09/05/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Entreprises Marcel Collignon et Fils,21/01/2011,1000,300,450,750,300,450,750,20/11/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Menuiserie DAUSSAINT,21/01/2011,1000,300,450,750,300,450,750,26/08/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
S.A. Ets. R. HEINEN N.V.,27/01/2011,10000,3000,4500,7500,3000,4500,7500,08/07/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Géo modul'air,3/10/2011,2500,750,1125,1875,750,1125,1875,19/09/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PRO - SYSTEMA,21/02/2011,5000,1500,2250,3750,1050,1575,2625,19/06/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
KITOZYME,09/02/2011,3500,1050,1575,2625,1050,1575,2625,21/06/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CHALEUR BOVIN S.N.C.,09/02/2011,10500,3150,4725,7875,3150,4725,7875,18/07/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
JASPAR Valves and Maintenance,03/03/2011,7000,2100,3150,5250,2100,3150,5250,06/06/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
IWAN SIMONIS,15/02/2011,6500,1950,2925,4875,1950,2925,4875,08/06/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PROBIOX,14/02/2011,8500,2550,3825,6375,1950,2925,4875,18/11/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Grando,10/06/2011,3000,900,1350,2250,900,1350,2250,19/09/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GREEN PROPULSION,02/03/2011,2000,600,900,1500,600,900,1500,04/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GREEN PROPULSION,25/02/2011,2000,600,900,1500,600,900,1500,04/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GROUP TECHNOCHIM EUROPE,18/02/2011,5000,1500,2250,3750,1500,2250,3750,02/05/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LOUISE,12/08/2011,1500,450,675,1125,450,675,1125,3/11/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
REFRACTORY PARTNERS,23/02/2011,2500,750,1125,1875,750,1125,1875,01/04/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
REFRACTAIRES et TRAVAUX,24/02/2011,2000,600,900,1500,600,900,1500,01/04/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Lambiotte et Compagnie,23/02/2011,2000,600,900,1500,600,900,1500,19/09/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DIAsource ImmunoAssays,28/02/2011,6500,1950,2925,4875,1950,2925,4875,29/08/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
IWAN SIMONIS,18/03/2011,2000,600,900,1500,600,900,1500,29/09/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
JASPAR Valves and Maintenance,03/03/2011,4000,1200,1800,3000,1200,1800,3000,16/05/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PH. DEPUYDT CONSULTING AN ENGINEERING ,05/03/2011,10000,3000,4500,7500,3000,4500,7500,26/08/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Jacques TILMAN,14/03/2011,1500,450,675,1125,450,675,1125,02/05/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MAURY,11/03/2011,9000,2700,4050,6750,2700,4050,6750,26/08/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SCIPION,14/03/2011,9000,2700,4050,6750,2700,4050,6750,26/08/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
POMMEE,21/03/2011,3500,1050,1575,2625,1050,1575,2625,8/12/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
J. BLOCKX Fils,23/03/2011,3500,1050,1575,2625,1050,1575,2625,21/06/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PASTIFICIO DELLA MAMMA,31/03/2011,10000,3000,4500,7500,3000,4500,7500,14/02/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
C.M.L. Industries,29/06/2011,5000,1500,2250,3750,1500,2250,3750,01/09/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SUD CHARPENTES LAMCOL,07/04/2011,18500,5550,8325,13875,5550,8325,13875,31/08/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SYNACO,07/04/2011,4000,1200,1800,3000,1200,1800,3000,12/10/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Cardio3 Biosciences,05/04/2011,20000,6000,9000,15000,6000,9000,15000,08/06/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ODYSSEA PHARMA,01/08/2011,15000,4500,6750,11250,4500,6750,11250,13/12/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BELGOREX,12/04/2011,1500,450,675,1125,450,675,1125,29/08/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SYNE,11/04/2011,500,150,225,375,150,225,375,16/05/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Lambiotte et Compagnie,12/04/2011,1500,450,675,1125,450,675,1125,10/09/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DYVERTEX,22/04/2011,1000,300,450,750,300,450,750,14/09/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Jacques TILMAN,17/05/2011,500,150,225,375,150,225,375,29/09/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MARKET - IP,28/04/2011,20000,6000,9000,15000,3150,4725,7875,13/12/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ERC Belgium,24/05/2011,20000,6000,9000,15000,6000,9000,15000,12/10/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Microcyc,29/04/2011,10500,3150,4725,7875,1500,2250,3750,04/05/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DOTHEE,07/09/2011,2500,750,1125,1875,750,1125,1875,10/10/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PAILLE TECH,06/05/2011,6000,1800,2700,4500,1800,2700,4500,29/09/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LESCAV,25/05/2011,500,150,225,375,150,225,375,22/12/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LESCAV,25/05/2011,6000,1800,2700,4500,1800,2700,4500,22/12/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
INOV,6/10/2011,2000,600,900,1500,600,900,1500,27/07/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Athena Informatic,11/05/2011,7500,2250,3375,5625,2250,3375,5625,22/12/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MAURY,25/05/2011,7500,2250,3375,5625,2250,3375,5625,09/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LESCAV,25/05/2011,500,150,225,375,150,225,375,18/12/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PROGENOSIS,13/05/2011,20000,6000,9000,15000,6000,9000,15000,31/10/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
KRIZALID STUDIO,16/05/2011,5500,1650,2475,4125,1650,2475,4125,14/02/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CISSOID,13/05/2011,5000,1500,2250,3750,1500,2250,3750,09/09/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ZincOx Belgium,12/05/2011,7500,2250,3375,5625,2250,3375,5625,01/09/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
FOOD IMPACT,20/06/2011,8500,2550,3825,6375,2550,3825,6375,08/07/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GROUP TECHNOCHIM EUROPE,17/05/2011,2000,600,900,1500,600,900,1500,27/06/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SERVITEX,07/06/2011,5000,1500,2250,3750,1500,2250,3750,13/12/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PHYSIOL,26/05/2011,1500,450,675,1125,450,675,1125,09/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BRITTE-MUSTAD,26/05/2011,4500,1350,2025,3375,1350,2025,3375,09/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GREEN PROPULSION,27/05/2011,500,150,225,375,150,225,375,04/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
AUTOMATION ET ROBOTICS,26/05/2011,1000,300,450,750,300,450,750,04/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PLASTIQUAL,30/05/2011,1000,300,450,750,300,450,750,04/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
KX CONCEPT,13/09/2011,500,150,225,375,150,225,375,04/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
IOL,20/07/2011,1000,300,450,750,300,450,750,09/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
INDUSTRIAL CONTROL MACHINES,01/06/2011,1500,450,675,1125,450,675,1125,29/06/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
La Comète,15/09/2011,1000,300,450,750,300,450,750,09/07/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MATRIO - GROUP,09/06/2011,2000,600,900,1500,600,900,1500,01/06/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
KITOZYME,14/06/2011,15500,4650,6975,11625,4650,6975,11625,30/03/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GROUP TECHNOCHIM EUROPE,23/06/2011,2000,600,900,1500,600,900,1500,12/10/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Les Vergers du Vieux Tauves,09/06/2011,19000,5700,8550,14250,4050,6075,10125,30/07/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ERIC ROMPEN IMPLANTOLOGIE,10/06/2011,20000,6000,9000,15000,6000,9000,15000,22/12/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
JASPAR Valves and Maintenance,14/06/2011,1000,300,450,750,300,450,750,26/08/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MG CONSULTANTS,15/06/2011,2500,750,1125,1875,750,1125,1875,22/02/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
xFflexX,06/07/2011,1000,300,450,750,300,450,750,3/11/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ATELIER THEO BOVEROUX,23/06/2011,1000,300,450,750,300,450,750,30/09/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SPLICE CONSULT,21/06/2011,20000,6000,9000,15000,6000,9000,15000,26/08/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GROUP TECHNOCHIM EUROPE,23/06/2011,500,150,225,375,150,225,375,26/08/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NECTAR & CO,23/06/2011,2500,750,1125,1875,750,1125,1875,8/12/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DIAGENODE,11/07/2011,5500,1650,2475,4125,1650,2475,4125,29/08/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DIAGENODE,11/07/2011,2000,600,900,1500,600,900,1500,26/08/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
F.TODDE,30/06/2011,1000,300,450,750,300,450,750,30/09/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DELHEZ SYSTEMES,30/06/2011,500,150,225,375,150,225,375,18/07/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
HERITAGE 1466,05/07/2011,6500,1950,2925,4875,1950,2925,4875,10/10/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
INDUSTRIAL CONTROL MACHINES,04/07/2011,2500,750,1125,1875,750,1125,1875,30/03/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
