Bénéficiaires,Date de décision,Montant de l'investissement total,Montants cofinancés décidées,Feder décidées,Part wallonne décidées,Montants cofinancés payées,Feder payées,Part wallonne payées,Date de clôture,project
DEXIL LABS,14/12/2010,"1.569.074,00","1.098.351,80","439.340,72","659.011,08","916.516,05","366.606,42","549.909,63",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
MAN TO TREE,14/12/2010,"896.157,60","627.310,32","250.924,13","376.386,19","627.310,23","250.924,09","376.386,14",22/01/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
BIEBUYCK Ets,14/12/2010,"2.314.000,00","1.388.400,00","555.360,00","833.040,00","1.388.400,00","555.360,00","833.040,00",30/09/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
B-SIDE,13/12/2010,"707.500,00","424.500,00","169.800,00","254.700,00","424.500,00","169.800,00","254.700,00",15/04/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
COSELOG,13/12/2010,"1.449.000,00","579.600,00","231.840,00","347.760,00","579.600,00","231.840,00","347.760,00",20/11/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
BELVAS,13/12/2010,"182.300,00","127.610,00","51.044,00","76.566,00","40.936,66","16.374,66","24.562,00",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
OPHITEO,13/07/2011,"228.000,00","136.800,00","54.720,00","82.080,00","129.971,18","51.988,47","77.982,71",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
TRIPY,13/07/2011,"270.000,00","162.000,00","64.800,00","97.200,00","118.003,53","47.201,41","70.802,12",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
IT-OPTICS,13/07/2011,"637.876,30","382.725,78","153.090,31","229.635,47","382.725,78","153.090,32","229.635,46",21/12/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
BHC,13/07/2011,"282.803,92","169.682,35","67.872,94","101.809,41","169.682,36","67.872,95","101.809,41",30/06/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
CHIMAY FROMAGE,02/08/2011,"184.395,00","147.516,00","59.006,40","88.509,60","49.830,18","19.932,07","29.898,11",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
FISHING CACTUS,21/09/2011,"1.115.000,00","501.750,00","200.700,00","301.050,00","358.609,23","143.443,70","215.165,53",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
DEQUENNE CHIMIE,5/12/2011,"379.996,51","265.997,56","106.399,02","159.598,54","265.997,56","106.399,03","159.598,53",18/12/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
DESOBRY,1/12/2011,"7.712.500,00","3.856.250,00","1.542.500,00","2.313.750,00","3.856.250,01","1.542.500,00","2.313.750,01",13/07/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
BONE THERAPEUTICS,28/10/2011,"1.000.000,00","700.000,00","280.000,00","420.000,00","608.202,59","243.281,04","364.921,55",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
TWIN DEVELOPMENT,5/12/2011,"171.000,00","102.600,00","41.040,00","61.560,00","25.650,00","10.260,00","15.390,00",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
VENYO,5/12/2011,"361.000,00","216.600,00","86.640,00","129.960,00","216.599,99","86.640,00","129.959,99",10/08/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
AGC GLASS EUROPE,03/05/2012,"422.217,57","168.887,03","67.554,81","101.332,22","168.887,03","67.554,81","101.332,22",31/12/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
CHIMAY DEVELOPPEMENT EXPERIMENTAL,02/08/2011,"253.575,00","152.145,00","60.858,00","91.287,00","30.939,11","12.375,64","18.563,47",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
EUROSCREEN,6/12/2012,"3.529.604,16","2.470.722,91","988.289,16","1.482.433,75","2.357.213,03","942.885,21","1.414.327,82",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
QUALITY ASSISTANCE,22/11/2012,"247.003,80","148.202,28","59.280,91","88.921,37","83.025,81","33.210,33","49.815,48",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
QUALITY ASSISTANCE,6/12/2012,"3.200.000,00","1.920.000,00","768.000,00","1.152.000,00","611.850,18","244.740,07","367.110,11",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
ITEOS,29/12/2011,"8.649.850,00","6.054.895,00","2.421.958,00","3.632.937,00","3.666.342,82","1.466.537,13","2.199.805,69",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
DIAGAM,3/12/2012,"512.000,00","358.400,00","143.360,00","215.040,00","0,00","0,00","0,00",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
