Bénéficiaires,Portefeuille,Projets,Date de la dernière décision du GW,Coût total décidées,Feder décidées,Part wallonne décidées,Autres décidées,Coût total payées,Feder payées,Part wallonne payées,Autres payées,Date de clôture
Chaque école sélectionnée dans le cadre de l'appel à projets annuels,Equipements pédagogiques de pointe de l'enseignement qualifiant - Compétitivité,Equipements pédagogiques de l'enseignement qualifiant,10/10/2013,"9.331.688,16","4.665.844,08","4.665.844,08","0,00","9.001.156,93","4.500.578,45","4.500.578,48","0,00",
Chaque école sélectionnée dans le cadre de l'appel à projets annuels,Equipements pédagogiques de pointe de l'enseignement qualifiant - Compétitivité,Equipement de pointe de l'enseignement qualifiant,10/10/2013,"4.193.474,16","2.096.737,08","2.096.737,08","0,00","4.153.669,64","2.076.834,81","2.076.834,83","0,00",
Commune de Sambreville,Sambreville - Pôle de développement de la Basse- Sambre,Equipement d'un centre de formation et de validation,03/12/2015,"450.000,00","135.000,00","315.000,00","0,00","450.000,00","135.000,00","315.000,00","0,00",9/12/2013
IFAPME,Centre de compétence Construform Liège,Volet 3 - Extension Les Isnes - IFAPME,15/07/2014,"10.725.102,00","3.217.530,60","7.507.571,40","0,00","5.529.294,03","1.658.788,21","3.870.505,82","0,00",
IFAPME,Centre de compétence Construform Liège - antennes Namur et Verviers,Volet 1 - Antenne Verviers IFAPME,15/07/2014,"2.061.840,17","870.096,55","1.191.743,62","0,00","1.626.351,80","686.320,45","940.031,35","0,00",
IFAPME,Equip'AutoFORM,AutoFORM,26/09/2013,"1.673.657,00","502.097,10","1.171.559,90","0,00","1.603.919,02","481.175,71","1.122.743,31","0,00",
IFAPME,Redynamisation du secteur des métiers de bouche - Centre de compétence EPICURIS,Volet 1 : Villers-le-Bouillet - Extension,06/11/2014,"2.350.671,00","705.201,30","1.645.469,70","0,00","2.177.411,18","653.223,35","1.524.187,83","0,00",
LE FOREM,CdC FORMALIM - Equipement,CdC FORMALIM - Equipement,26/09/2013,"448.013,70","189.061,78","258.951,92","0,00","402.581,47","169.889,39","232.692,08","0,00",
LE FOREM,CdC Logistique Liège,Extension Logistique Liège,26/09/2013,"1.851.506,95","555.452,09","1.296.054,86","0,00","1.256.068,96","376.820,68","879.248,28","0,00",
LE FOREM,CdC Logistique Liège,Antenne Molinfaing,26/09/2013,"1.136.191,83","479.472,96","656.718,87","0,00","1.128.561,44","476.252,93","652.308,51","0,00",
LE FOREM,CdC Logistique Liège,CdC La Louvière - Centre examen,26/09/2013,"5.337.490,37","1.601.247,11","3.736.243,26","0,00","3.387.215,61","1.016.164,68","2.371.050,93","0,00",
LE FOREM,CDC Polygone de l'eau,CDC Polygone de l'eau,26/09/2013,"461.869,80","194.909,06","266.960,74","0,00","461.864,92","194.906,99","266.957,93","0,00",27/03/2015
LE FOREM,CDC Technofutur industrie,Centre usine Transfrontalier - Compétitivité,15/07/2014,"1.185.000,00","355.500,00","829.500,00","0,00","1.004.858,92","301.457,67","703.401,25","0,00",
LE FOREM,CdC WALLONIE BOIS,1,28/06/2012,"450.000,00","135.000,00","315.000,00","0,00","450.000,00","135.000,00","315.000,00","0,00",15/07/2015
LE FOREM,CENTRE BIOTECH - Antenne CDC CEFOCHIM,CENTRE BIOTECH (Antenne de CDC CEFOCHIM),07/04/2011,"1.370.000,00","411.000,00","959.000,00","0,00","1.020.706,96","306.212,08","714.494,88","0,00",
LE FOREM,Centre de compétence Construform Liège - antennes Namur et Verviers,Volet 2 - Antenne Verviers FOREM,15/07/2014,"2.061.840,17","870.096,55","1.191.743,62","0,00","1.233.813,37","520.669,25","713.144,12","0,00",
LE FOREM,Centre de compétence Construform Liège,Volet 2 - Extension Grâce- Hollogne,15/07/2014,"4.834.779,00","1.450.433,70","3.384.345,30","0,00","3.622.115,57","1.086.634,67","2.535.480,90","0,00",
"Fédération Wallonie- Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - compétitivité,CTA Centre de travail de la tôle,10/10/2013,"770.000,00","385.000,00","385.000,00","0,00","409.100,86","204.550,42","204.550,44","0,00",
"Fédération Wallonie- Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - compétitivité,CTA de l'automation - mini- usine,10/10/2013,"880.000,00","440.000,00","440.000,00","0,00","879.865,77","439.932,88","439.932,89","0,00",
"Fédération Wallonie- Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - compétitivité,CTA en Bases du futur des métiers de bouche,10/10/2013,"823.500,00","411.750,00","411.750,00","0,00","672.792,42","336.396,20","336.396,22","0,00",
"Fédération Wallonie- Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - compétitivité,CTA en équipements techniques du bâtiment,10/10/2013,"820.000,00","410.000,00","410.000,00","0,00","785.463,51","392.731,74","392.731,77","0,00",
"Fédération Wallonie- Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - compétitivité,CTA en Etude et maint. de syst. aut. industriels,10/10/2013,"850.000,00","425.000,00","425.000,00","0,00","834.003,09","417.001,53","417.001,56","0,00",
"Fédération Wallonie- Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - compétitivité,CTA en expert.scient. au serv. des mét. de l'alim.,10/10/2013,"866.500,00","433.250,00","433.250,00","0,00","571.835,94","285.917,96","285.917,98","0,00",
"Fédération Wallonie- Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - compétitivité,CTA en formations agronomiques des secteurs verts,10/10/2013,"987.800,00","493.900,00","493.900,00","0,00","986.707,51","493.353,74","493.353,77","0,00",
"Fédération Wallonie- Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - compétitivité,CTA en Gestion hôtelière informatisée,10/10/2013,"795.000,00","397.500,00","397.500,00","0,00","191.178,21","95.589,10","95.589,11","0,00",
"Fédération Wallonie- Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - compétitivité,CTA en Industrie graph. et Maquettisme virtuel,10/10/2013,"870.000,00","435.000,00","435.000,00","0,00","869.054,65","434.527,32","434.527,33","0,00",
"Fédération Wallonie- Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - compétitivité,CTA en Industries graphiques,10/10/2013,"845.600,00","422.800,00","422.800,00","0,00","845.569,85","422.784,92","422.784,93","0,00",04/02/2014
"Fédération Wallonie- Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - compétitivité,CTA en Métiers de l'automobile,10/10/2013,"840.000,00","420.000,00","420.000,00","0,00","691.788,05","345.894,01","345.894,04","0,00",
"Fédération Wallonie- Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - compétitivité,CTA en Sciences appliquées,10/10/2013,"840.000,00","420.000,00","420.000,00","0,00","836.905,76","418.452,86","418.452,90","0,00",
"Fédération Wallonie- Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - compétitivité,CTA en Sciences appliquées orient. environnement,10/10/2013,"820.000,00","410.000,00","410.000,00","0,00","219.357,36","109.678,67","109.678,69","0,00",
"Fédération Wallonie- Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - compétitivité,CTA en Soins aux personnes et soins infirmiers,10/10/2013,"850.000,00","425.000,00","425.000,00","0,00","0,00","0,00","0,00","0,00",
"Fédération Wallonie- Bruxelles, DG Enseignement obligatoire",Centres de technologie avancée - compétitivité,CTA en Technol. nouv. dans le dom du Bois PVC ALU,10/10/2013,"850.000,00","425.000,00","425.000,00","0,00","847.812,69","423.906,33","423.906,36","0,00",
