Bénéficiaires,Portefeuilles,Projets,Date de la dernière décision du GW,Coût total décidées,Feder décidées,Part wallonne décidées,Autres décidées,Coût total payées,Feder payées,Part wallonne payées,Autres payées,Date de clôture
IDETA,Renforcement des infrastructures à vocation économique de la Wallonie picarde,1. Assainissement et réaffectation du SAR de Frasnes,18/07/2013,"10.200.000,00","3.962.904,00","5.944.356,00","0,00","10.200.000,00","3.962.904,00","5.944.356,00","0,00",23/11/2012
IGRETEC,ECOPOLE - création d'un pôle d'activités du développement durable,Réaménagement des friches industrielles - projet 4,24/03/2016,"70.003,08","28.001,23","42.001,85","0,00","69.962,58","27.985,03","41.977,55","0,00",31/12/2015
GEPART SA,ECOPOLE - création d'un pôle d'activités du développement durable,Assainissement des friches industrielles -projet 5,24/03/2016,"9.624.202,76","3.849.681,11","5.774.521,65","0,00","9.614.772,37","3.845.908,95","5.768.863,42","0,00",29/09/2014
GEPART SA,La Louvière - Extension du centre-ville: Boch Kéramis,1 - Réhabilitation du site / mise en compatibilité,10/12/2015,"5.803.508,54","2.321.403,42","3.482.105,12","0,00","5.803.508,54","2.321.403,42","3.482.105,12","0,00",25/09/2015
GEPART SA,Réhabilitation de sites pollués - Convergence,Binche - Site Sainte-Barbe,10/12/2015,"4.261.837,44","1.704.734,98","2.557.102,46","0,00","4.261.837,44","1.704.734,98","2.557.102,46","0,00",29/06/2015
GEPART SA,Réhabilitation de sites pollués - Convergence,Charleroi - Site Saint-Louis,10/12/2015,"2.801.120,73","1.120.448,29","1.680.672,44","0,00","2.800.979,53","1.120.391,81","1.680.587,72","0,00",
GEPART SA,Réhabilitation de sites pollués - Convergence,Châtelet - Site Boma,10/12/2015,"190.938,52","76.375,40","114.563,12","0,00","190.938,52","76.375,40","114.563,12","0,00",24/06/2014
GEPART SA,Réhabilitation de sites pollués - Convergence,Farciennes - Centrale électrique de Farciennes,10/12/2015,"17.957.229,71","7.182.891,88","10.774.337,83","0,00","17.955.366,87","7.182.146,75","10.773.220,12","0,00",
GEPART SA,Réhabilitation de sites pollués - Convergence,Jemappes - Site Laminoirs de Jemappes,10/12/2015,"13.106.230,95","5.242.492,38","7.863.738,57","0,00","13.106.230,75","5.242.492,30","7.863.738,45","0,00",14/12/2015
GEPART SA,Réhabilitation de sites pollués - Convergence,La Louvière - Site Javel- Lacroix,10/12/2015,"936.750,51","374.700,21","562.050,30","0,00","936.750,51","374.700,20","562.050,31","0,00",30/06/2010
