Bénéficiaires,Portefeuilles,Projets,Date de la dernière décision du GW,Coût total décidées,Feder décidées,Part wallonne décidées,Autres décidées,Coût total payées,Feder payées,Part wallonne payées,Autres payées,Date de clôture
Bureau Economique de la Province de Namur,NAMUR SYNERGIE sc - Programme pluriannuel 2007- 2013 - Animation Economique en Province de NAMUR,Information personnalisée,05/06/2014,"726.000,00","290.400,00","308.549,97","127.050,03","691.076,07","276.430,42","293.707,34","120.938,31",
Bureau Economique de la Province de Namur,NAMUR SYNERGIE sc - Programme pluriannuel 2007- 2013 - Animation Economique en Province de NAMUR,Accompagnement projets innovants,05/06/2014,"1.723.793,00","689.517,20","732.612,02","301.663,78","1.661.510,49","664.604,19","706.141,97","290.764,33",
Bureau Economique de la Province de Namur,NAMUR SYNERGIE sc - Programme pluriannuel 2007- 2013 - Animation Economique en Province de NAMUR,"Support aux entreprises innovantes, existantes",05/06/2014,"1.745.550,00","698.220,00","741.858,74","305.471,26","1.697.543,53","679.017,40","721.456,01","297.070,12",
Bureau Economique de la Province de Namur,NAMUR SYNERGIE sc - Programme pluriannuel 2007- 2013 - Animation Economique en Province de NAMUR,Renforcement de la stratégie de développement,05/06/2014,"787.225,00","314.890,00","314.890,00","157.445,00","749.533,73","299.813,49","299.813,50","149.906,74",
Bureau Economique de la Province de Namur,NAMUR SYNERGIE sc - Programme pluriannuel 2007- 2013 - Animation Economique en Province de NAMUR,Accompagnement des entreprises (Wallonie- Bruxelles-Flandre),05/06/2014,"420.350,00","168.140,00","178.648,75","73.561,25","397.250,06","158.899,99","168.831,30","69.518,77",
CHALLENGE,Equilibre/Challenge CBC Dinant,Emploi et insertion professionnelle,18/07/2013,"900.000,00","360.000,00","450.000,00","90.000,00","756.077,93","302.431,16","378.038,98","75.607,79",
CIDE/SOCRAN,Stimulation de l'animation économique en Province de Liège.,CREER-Accompagnement individuel spin offspin out,22/10/2015,"2.010.197,55","804.079,02","703.569,14","502.549,39","1.872.278,56","748.911,39","655.297,50","468.069,67",
CIDE/SOCRAN,Stimulation de l'animation économique en Province de Liège.,DIFFERENCIER-Coaching adapté au Manager,22/10/2015,"1.239.779,75","495.911,90","433.922,90","309.944,95","1.143.195,48","457.278,16","400.118,42","285.798,90",
Chambre de Commerce et d'Industrie du Luxembourg belge,ANIMECOLUX - Programme 2007-2013 - Animation économique en province de Luxembourg - Scrl lux@venir,Information du réseau,22/10/2015,"266.450,00","106.580,00","106.580,00","53.290,00","248.323,16","99.329,24","99.329,28","49.664,64",
Chambre de Commerce et d'Industrie du Luxembourg belge,ANIMECOLUX - Programme 2007-2013 - Animation économique en province de Luxembourg - Scrl lux@venir,Accompagnement au quotidien,22/10/2015,"1.190.617,10","476.246,84","416.715,97","297.654,29","1.123.695,50","449.478,19","393.293,43","280.923,88",
