Bénéficiaires,Portefeuilles,Projets,Date de la dernière décision du GW,Coût total décidées,Feder décidées,Part wallonne décidées,Autres décidées,Coût total payées,Feder payées,Part wallonne payées,Autres payées,Date de clôture
ASBL Tramway Touristique de l'Aisne,Pleine nature en Ourthe et Aisne,Conservatoire du tramway à vapeur rural en Wallonie,10/12/2015,"1.045.162,33","418.064,93","522.581,17","104.516,23","773.767,33","309.506,91","386.883,68","77.376,74",
ASBL Attractions et Tourisme,Structuration-qualification et promotion des filières touristiques de Wallonie,Filière Détente-Découverte: réseau des attractions,26/11/2015,"198.642,58","79.457,03","99.321,29","19.864,26","198.642,58","79.457,00","99.321,31","19.864,27",31/12/2013
ASBL Gîtes de Wallonie,Structuration-qualification et promotion des filières touristiques de Wallonie,Filière Détente- Découverte:réseau héb. de terroir,26/11/2015,"284.750,00","113.900,00","142.375,00","28.475,00","275.504,19","110.201,65","137.752,11","27.550,43",
ASBL HORECA Wallonie,Structuration-qualification et promotion des filières touristiques de Wallonie,Filière Détente-Découverte: réseau hôtelier,26/11/2015,"201.000,00","80.400,01","100.499,99","20.100,00","121.746,69","48.698,67","60.873,35","12.174,67",
ASBL Liège Congrès,Structuration-qualification et promotion des filières touristiques de Wallonie,Filière MICE: Cellule MICE liégeois,26/11/2015,"414.995,80","165.998,32","207.497,91","41.499,57","414.995,84","165.998,31","207.497,94","41.499,59",30/06/2013
ASBL MNEMA,"Mnema, Cité Miroir / Réhabilitation des Bains et Thermes de la Sauvenière - Liège",AUTRES TRAVAUX DE REHABILITATION,08/10/2015,"8.169.441,31","3.267.776,53","4.084.720,65","816.944,13","7.178.878,95","2.871.551,57","3.589.439,48","717.887,90",16/03/2015
ASBL Musées et Société en Wallonie,Structuration-qualification et promotion des filières touristiques de Wallonie,Filière Détente-découverte: réseaux muséaux,26/11/2015,"300.000,00","120.000,00","150.000,00","30.000,00","273.081,42","109.232,53","136.540,73","27.308,16",
ASBL Pays de Famenne,Pleine nature en Ourthe et Aisne,Voie lente en Ourthe et Aisne - MET,10/12/2015,"969.520,37","387.808,15","484.760,18","96.952,04","963.822,38","385.528,94","481.911,20","96.382,24",
ASBL WALCAMP,Structuration-qualification et promotion des filières touristiques de Wallonie,Détente-Découverte: réseau des campings,26/11/2015,"440.680,04","176.272,02","220.340,02","44.068,00","417.277,77","166.911,08","208.638,91","41.727,78",
ASBL WANT,Structuration-qualification et promotion des filières touristiques de Wallonie,Filière Activités de pleine nature,26/11/2015,"425.340,00","170.136,00","212.670,00","42.534,00","340.889,08","136.355,62","170.444,55","34.088,91",
