"query_country_code","nuts0_code","sum"
PL,PL,75368835880
ES,ES,48149420639
HU,HU,36129063847
IT,IT,34668412702
CZ,CZ,26792071238
DE,DE,25486721623
GR,EL,25417059248
PT,PT,23047565778
RO,RO,22369824443
FR,FR,14448014740
SK,SK,11213839418
UK,UK,9005373511
BG,BG,7720794885
LT,LT,6752062223
SI,SI,4576126865
LV,LV,4493771267
EE,EE,3572872136
FI,FI,2857841898
AT,AT,2235946786
NL,NL,1658276814
BE,BE,1420956770
SE,SE,1135498906
CY,CY,841308858
MT,MT,833518548
HR,HR,815612179
IE,IE,571983725
DK,DK,491970672
LU,LU,23622777
