"query_country_code","nuts2_code","sum"
HU,HU10,17639641422
ES,ES61,15246899911
PL,PL12,12407005499
PT,PT11,10297476235
IT,ITF3,9493776048
PL,PL22,7657783133
IT,ITF4,6823952219
LT,LT00,6752062223
IT,ITG1,5714949077
PL,PL21,5691795896
PL,PL51,5640522467
PL,PL41,5331157920
PL,PL32,5290250359
PL,PL11,5148399234
PL,PL63,4848201052
ES,ES11,4794311979
PT,PT16,4788487924
HU,HU32,4705724281
CZ,CZ06,4572724320
LV,LV00,4493771267
PL,PL31,4336973919
IT,ITF6,4074077417
RO,RO32,4013258731
HU,HU33,3912331343
GR,EL30,3838790838
PL,PL62,3819901211
ES,ES51,3747347926
ES,ES30,3732735205
ES,ES52,3622689350
EE,EE00,3572872136
GR,EL65,3439307634
PL,PL42,3416970520
GR,EL52,3412607177
CZ,CZ03,3407866451
CZ,CZ08,3400479651
SK,SK03,3382520806
RO,RO12,3379893549
SK,SK02,3320563359
CZ,CZ07,3306101032
CZ,CZ05,3278815117
HU,HU31,3230359314
PL,PL61,3188212007
SK,SK04,3179970640
ES,ES43,3171258370
CZ,CZ01,3079869671
CZ,CZ02,3072935162
RO,RO21,2927429623
BG,BG41,2809077706
RO,RO22,2771297568
DE,DE30,2757228830
GR,EL63,2683290125
PT,PT17,2682900476
CZ,CZ04,2673279834
PT,PT18,2667187936
RO,RO11,2640108192
ES,ES42,2629648451
ES,ES70,2609421577
GR,EL61,2600110635
PL,PL33,2572234887
DE,DEG0,2547239035
PL,PL34,2541762920
SI,SI03,2517561218
ES,ES41,2500735645
HU,HU21,2381227207
RO,RO42,2353193448
HU,HU23,2331958349
RO,RO31,2290088153
SI,SI04,2058565647
RO,RO41,1994555179
GR,EL54,1986041057
DE,DEE0,1949479639
PL,PL43,1927951466
HU,HU22,1927821931
FR,FR94,1903804922
DE,DE40,1846154218
DE,DED2,1794380179
DE,DED4,1712929642
FI,FI1D,1645786297
DE,DE80,1622143624
GR,EL51,1580321684
PL,PL52,1549713390
BG,BG42,1385771459
PT,PT20,1361960989
SK,SK01,1330784613
FR,FR30,1328106062
BG,BG34,1296722562
ES,ES21,1285830740
GR,EL64,1250300475
ES,ES12,1241845165
UK,UKL1,1229312697
GR,EL53,1224336774
IT,ITG2,1183836061
IT,ITI4,1177710157
GR,EL43,1127730749
ES,ES62,1121835462
DE,DEA1,1054449149
IT,ITI1,1045768105
DE,DE21,1025167568
GR,EL41,1017643831
DE,DED5,967872800
FR,FR71,926064111
UK,UKI1,896165655
DE,DE93,893328188
DE,DEF0,887807777
IT,ITC1,885492918
FR,FR10,865959263
DE,DE71,855439859
CY,CY00,841308858
MT,MT00,833518548
UK,UKG3,818784456
ES,ES24,811852257
BG,BG32,789817754
PT,PT30,785930336
UK,UKN0,782511161
DE,DEA2,781941142
BG,BG33,747256542
FR,FR91,733601348
IT,ITC4,704979164
FR,FR62,695628868
BG,BG31,692148862
IT,ITH3,684979831
FR,FR61,680019779
FR,FR51,656789097
GR,EL62,646521344
FI,FI19,586822135
DE,DEA5,566108624
GR,EL42,562970451
FR,FR92,540877160
ES,ES53,523021638
IT,ITH5,520990638
FR,FR81,520972496
IT,ITF5,506362808
BE,BE10,491962360
FR,FR52,481530214
HR,HR04,477014032
UK,UKK3,474451553
DE,DE50,468674027
PT,PT15,463621882
FR,FR41,450859403
AT,AT12,450049967
FR,FR93,444991495
NL,NL33,432433018
UK,UKL2,426041545
FR,FR23,423383494
FI,FI1C,417685103
ES,ES13,414946244
AT,AT13,410661093
FR,FR82,408784575
AT,AT22,400053940
FR,FR24,388260307
UK,UKD3,383504584
FR,FR53,378083720
UK,UKE3,377637913
FR,FR72,376727817
AT,AT31,373612563
UK,UKF1,371866592
FR,FR22,361415062
IT,ITC3,357092218
UK,UKD7,355769092
HR,HR03,338598147
FR,FR25,330075696
BE,BE32,326298048
ES,ES22,315612533
DE,DEA3,307806789
FR,FR21,299799779
FR,FR26,292039662
IT,ITF1,287490488
FR,FR42,286584795
IT,ITI2,281792903
SE,SE33,279706031
UK,UKE4,277543080
DE,DE23,276269290
FR,FR43,266018669
NL,NL32,260527706
DE,DE73,258335646
DE,DE11,254215044
UK,UKC2,253875206
IE,IE06,249627611
IT,ITI3,249262035
DE,DE22,227746979
UK,UKM3,224497454
IT,ITH4,223263152
DE,DE60,221473301
NL,NL31,219552484
AT,AT21,217992095
FR,FR63,217712268
SE,SE31,215236588
DE,DEC0,211641353
IE,IE05,211615811
UK,UKM2,209732061
DE,DE27,208380101
DE,DE24,206365907
FI,FI1B,205893152
SE,SE32,201082405
NL,NL22,192829552
FR,FR83,189924678
IT,ITF2,187865831
DE,DEA4,183009071
UK,UKI2,182781491
DE,DE92,175319182
AT,AT33,172971674
DE,DEB3,168208827
ES,ES23,164083343
BE,BE33,163265952
DE,DE25,162812871
UK,UKH1,159637854
UK,UKM6,155220237
DE,DE72,144125507
DE,DE26,141969659
UK,UKD6,138444742
UK,UKD4,127049418
SE,SE22,122751924
DK,DK05,121088808
SE,SE23,120783211
UK,UKF2,119476173
DE,DE12,113923267
DE,DEB1,112301425
ES,ES63,111599476
NL,NL11,111361353
UK,UKJ2,111207216
DK,DK03,110850062
IE,IE04,110740303
DE,DE13,107956502
IT,ITH2,105502734
UK,UKK1,105121641
ES,ES64,103745367
DK,DK01,101855114
IT,ITH1,95403043
UK,UKE1,95084527
AT,AT32,93039168
UK,UKH2,92997034
AT,AT34,92606089
NL,NL21,91985830
DE,DE91,89772711
DK,DK04,85525169
SE,SE12,85132904
NL,NL41,81706145
UK,UKC1,81264928
DE,DE14,81202866
UK,UKG2,80167012
UK,UKE2,79503977
BE,BE21,74762019
DK,DK02,72651519
SE,SE21,69838327
UK,UKJ1,69477610
NL,NL13,69225189
BE,BE35,67425639
NL,NL42,67005698
IT,ITC2,63865855
BE,BE23,60123357
DE,DE94,58549539
BE,BE22,58233917
UK,UKJ4,55050226
BE,BE25,53675016
NL,NL12,51303861
NL,NL23,49948188
GR,ELZZ,47086474
DE,DEB2,44991485
UK,UKD1,44887941
BE,BE34,44882756
BE,BE24,41419151
SE,SE11,40967516
UK,UKH3,39115212
BE,BE31,38908555
UK,UKK4,38229177
UK,UKM5,33858104
UK,UKF3,32668051
NL,NL34,30397790
UK,UKG1,28945368
UK,UKJ3,28385755
UK,UKK2,25106768
AT,AT11,24960197
LU,LU00,23622777
FI,FI20,1655211
