"query_country_code","lau2_code","sum"
RO,RO322_179409,185662542
PT,PT114_131210,184615741
DE,DEA23_05315000,184615187
FR,FR940_97415,184229587
RO,RO215_146263,183322810
ES,ES617_29069,182592544
IT,ITF47_072027,182024072
PL,PL345_320396301,181550493
SK,SK010_529320,181549960
DE,DED43_14522180,181216768
GR,EL522_07060301,181091489
PT,PT114_131203,180187955
DE,DE804_13004000,179266649
PL,PL217_212246301,177754429
ES,ES415_37274,176864484
DE,DEG02_16052000,176489426
ES,ES611_04079,176179392
CZ,CZ080_598003,174368267
PL,PL22C_224517701,173482227
GR,EL611_23010101,171987722
ES,ES425_45168,171710595
DE,DE403_12053000,171229884
FR,FR910_97101,169601547
RO,RO222_44818,168217943
NL,NL326_0363,167932091
ES,ES130_39075,167571966
LT,LT006_29,167566710
PT,PT162_060318,167313521
GR,EL511_03010101,166784595
IT,ITF32_062008,166184179
IT,ITF63_079160,164143270
PL,PL325_318351613,162682834
HU,HU2306,162542363
SK,SK023_500011,161754230
ES,ES522_12040,160675235
PL,PL228_224451304,160121207
PL,PL423_432641401,160059094
GR,EL513_01010101,159250099
IT,ITF47_072004,158694265
RO,RO423_86687,157598067
ES,ES709_38023,157306699
DE,DEF03_01003000,155849724
RO,RO112_32394,155465143
ES,ES620_30016,155180476
PL,PL326_318361101,154562550
PL,PL227_224497301,154343037
ES,ES112_27028,154327398
IT,ITC33_010025,154028859
RO,RO216_161945,153979686
HU,HU0976,153677926
PL,PL325_318351603,153408105
ES,ES614_18140,152754809
IT,ITF34_064008,152547712
DE,DEG05_16055000,152239194
SK,SK010_528595,151930253
IT,ITF31_061005,151835822
RO,RO113_55384,151819509
HU,HU2276,151586119
DE,DEA13_05113000,151420576
DE,DE935_03355022,151328777
CZ,CZ064_584291,150908200
UK,UKD31_E05000778,150848022
PL,PL325_318351606,150347785
PL,PL615_604086401,150255663
RO,RO414_125347,149960710
SK,SK032_508438,149862228
EE,EE004_0625,149673091
PL,PL22B_224506801,149268461
IT,ITF33_063060,148960726
DE,DE402_12052000,148879827
RO,RO422_50790,148493686
PL,PL331_326521001,148279617
IT,ITF51_076063,148180534
PL,PL422_432636101,148146796
AT,AT312_40101,147805788
RO,RO226_174744,146972940
SK,SK022_513016,146480021
