NUTS_3_2013_CODE;NUTS_3_2010_CODE;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;DEGURBA;;
DE113;DE113;081165008;08116043;no;Neidlingen;Neidlingen;1799;12623300;3;;
DE113;DE113;081165008;08116053;no;Ohmden;Ohmden;1703;5551700;2;;
DE113;DE113;081165008;08116070;no;Weilheim an der Teck, Stadt;Weilheim an der Teck, Stadt;9609;26513900;2;;
DE113;DE113;081165009;08116035;no;Köngen;Köngen;9529;12517700;2;;
DE113;DE113;081165009;08116071;no;Wendlingen am Neckar, Stadt;Wendlingen am Neckar, Stadt;15606;12150600;2;;
DE113;DE113;n.a.;08116015;no;Denkendorf;Denkendorf;10342;13059300;2;;
DE113;DE113;n.a.;08116019;no;Esslingen am Neckar, Stadt;Esslingen am Neckar, Stadt;88295;46418800;1;;
DE113;DE113;n.a.;08116047;no;Neuhausen auf den Fildern;Neuhausen auf den Fildern;11316;12468100;2;;
DE113;DE113;n.a.;08116072;no;Wernau (Neckar), Stadt;Wernau (Neckar), Stadt;11877;10897100;2;;
DE113;DE113;n.a.;08116076;no;Aichwald;Aichwald;7392;14678400;2;;
DE113;DE113;n.a.;08116077;no;Filderstadt, Stadt;Filderstadt, Stadt;44375;38553900;2;;
DE113;DE113;n.a.;08116078;no;Leinfelden-Echterdingen, Stadt;Leinfelden-Echterdingen, Stadt;37224;29891200;2;;
DE113;DE113;n.a.;08116080;no;Ostfildern, Stadt;Ostfildern, Stadt;36573;22811600;2;;
DE113;DE113;n.a.;08116081;no;Aichtal, Stadt;Aichtal, Stadt;9614;23641200;2;;
DE114;DE114;081175001;08117006;no;Bad Ditzenbach;Bad Ditzenbach;3568;25454800;3;;
DE114;DE114;081175001;08117014;no;Deggingen;Deggingen;5227;22704700;2;;
DE114;DE114;081175002;08117018;no;Ebersbach an der Fils, Stadt;Ebersbach an der Fils, Stadt;14961;26272000;2;;
DE114;DE114;081175002;08117044;no;Schlierbach;Schlierbach;3787;10967500;2;;
DE114;DE114;081175003;08117019;no;Eislingen/Fils, Stadt;Eislingen/Fils, Stadt;19760;16411200;2;;
DE114;DE114;081175003;08117037;no;Ottenbach;Ottenbach;2382;11900000;3;;
DE114;DE114;081175003;08117042;no;Salach;Salach;7761;8316000;2;;
DE114;DE114;081175004;08117007;no;Bad Überkingen;Bad Überkingen;3793;24023600;3;;
DE114;DE114;081175004;08117024;no;Geislingen an der Steige, Stadt;Geislingen an der Steige, Stadt;26182;75830300;2;;
DE114;DE114;081175004;08117033;no;Kuchen;Kuchen;5452;8950500;2;;
DE114;DE114;081175005;08117026;no;Göppingen, Stadt;Göppingen, Stadt;55378;59225800;2;;
DE114;DE114;081175005;08117043;no;Schlat;Schlat;1637;9676600;3;;
