nuts3_name,nuts3
Central Finland,FI193
Southern Ostrobothnia,FI194
Ostrobothnia,FI195
Satakunta,FI196
Pirkanmaa,FI197
Helsinki-Uusimaa,FI1B1
Southwest Finland,FI1C1
Kanta-Häme,FI1C2
Päijät-Häme,FI1C3
Kymenlaakso,FI1C4
South Karelia,FI1C5
Etelä-Savo,FI1D1
Pohjois-Savo,FI1D2
North Karelia,FI1D3
Kainuu,FI1D4
Central Ostrobothnia,FI1D5
Northern Ostrobothnia,FI1D6
Lapland,FI1D7
Åland,FI200
